Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed
22CS00058A,02/04/2022,6621 S LANGLEY ,BAFCONP,$0.00
22CS00059A,01/04/2022,6613 S LANGLEY AVE,BAFCONP,$0.00
18CP093079,11/27/2018,5045 N TRIPP ,POLICE,$0.00
19CP003510,01/16/2019,5045 N TRIPP ,POLICE,$0.00
19CP004491,01/06/2019,1800 S LAKE SHORE DR ,POLICE,$0.00
19CP004837,01/15/2019,1249 W 63RD ST,POLICE,$0.00
19CP004838,01/15/2019,7015 S THROOP ST,POLICE,$0.00
19CP005187,01/23/2019,901 N CICERO ,POLICE,$500.00
19CP005188,01/23/2019,1120 N CICERO ,POLICE,$500.00
19CP005189,01/23/2019,1100 N CICERO ,POLICE,$70.00
19CP005189,01/23/2019,1100 N CICERO ,POLICE,$150.00
19CP005190,01/23/2019,5439 W DIVERSEY ,POLICE,$150.00
19CP005190,01/23/2019,5439 W DIVERSEY ,POLICE,$500.00
19CP005191,01/23/2019,5129 W BELMONT ,POLICE,$0.00
19CP005191,01/23/2019,5129 W BELMONT ,POLICE,$150.00
19CP005780,01/21/2019,4443 W BARRY ,POLICE,$0.00
19CP006257,01/24/2019,934 W 74TH ST,POLICE,$500.00
19CP006669,02/03/2019,5700 W GRAND ,POLICE,$0.00
19CP006669,02/03/2019,5700 W GRAND ,POLICE,$500.00
19CP006678,01/29/2019,7251 S HALSTED ST,POLICE,$500.00
19CP006679,01/29/2019,7251 S HALSTED ST,POLICE,$0.00
19CP006679,01/29/2019,7251 S HALSTED ST,POLICE,$500.00
19CP006680,01/29/2019,7138 S HALSTED ST,POLICE,$500.00
19CP006682,01/29/2019,1900 W 64TH ST,POLICE,$500.00
19CP006688,01/29/2019,7257 S HALSTED ST,POLICE,$500.00
19CP006689,01/29/2019,7217 S HALSTED ST,POLICE,$500.00
19CP006690,01/29/2019,7151 S HALSTED ST,POLICE,$0.00
19CP006691,01/30/2019,7120 S LAFLIN ,POLICE,$50.00
19CP006691,01/30/2019,7120 S LAFLIN ,POLICE,$500.00
19CP006696,01/30/2019,1005 W 71ST ST,POLICE,$500.00
19CP006697,01/30/2019,1205 W 70TH ST,POLICE,$0.00
19CP006698,01/30/2019,7110 S LAFLIN ST,POLICE,$0.00
19CP006698,01/30/2019,7110 S LAFLIN ST,POLICE,$500.00
