docket,violation_address,city,state,cleaned_address,corrected
23DT000582,1010 W MADISON,Chicago,Illinois,1010 W MADISON,
22DT001042,1100 E 47TH ST,Chicago,Illinois,1100 E 47TH ST,
23DT000559,1101 W BERWYN,Chicago,Illinois,1101 W BERWYN,
22DT001387,100  UNKNOWN,Chicago,Illinois,100  UNKNOWN,
21DS20339M,1200 W BELMONT AVE,Chicago,Illinois,1200 W BELMONT AVE,
21DT001182,1325 N BOSWORTH,Chicago,Illinois,1325 N BOSWORTH,
22DT001232,326 W SCHILLER,Chicago,Illinois,326 W SCHILLER,
23DT000580,1401 N SEDGWICK,Chicago,Illinois,1401 N SEDGWICK,
21DT000380,1445 W LILL,Chicago,Illinois,1445 W LILL,
20DS75874L,1516 W FARWELL AVE,Chicago,Illinois,1516 W FARWELL AVE,
21DT001065,1600 W MADISON ST,Chicago,Illinois,1600 W MADISON ST,
21DT000514,164 E GRAND,Chicago,Illinois,164 E GRAND AVE,True
21DT001071,19 N BISHOP ST,Chicago,Illinois,19 N BISHOP ST,
21DT001169,1801 S STATE ST,Chicago,Illinois,1801 S STATE ST,
21DT000634,1848 N LINCOLN,Chicago,Illinois,1848 N LINCOLN,
21DT000619,1858 N SHEFFIELD,Chicago,Illinois,1858 N SHEFFIELD,
21DT000533,20 W ONTARIO ST,Chicago,Illinois,20 W ONTARIO ST,
21DT000384,2206 N KENMORE,Chicago,Illinois,2206 N KENMORE,
22DT001228,2559 S FEDERAL ST,Chicago,Illinois,2559 S FEDERAL ST,
20DS77811L,2612 W BARRY AVE,Chicago,Illinois,2612 W BARRY AVE,
20DS77340L,2668 N LINCOLN AVE,Chicago,Illinois,2668 N LINCOLN AVE,
19DS72153L,300 W WASHINGTON ST,Chicago,Illinois,300 W WASHINGTON ST,
21DT000577,327 N ABERDEEN ST,Chicago,Illinois,327 N ABERDEEN ST,
21DS20487M,3311 W WASHINGTON BLVD,Chicago,Illinois,3311 W WASHINGTON BLVD,
22DT001115,3540 S NORMAL,Chicago,Illinois,3540 S NORMAL,
21DT001189,3832 S WABASH,Chicago,Illinois,3832 S WABASH,
23DT000243,1345 W ESTES,Chicago,Illinois,1345 W ESTES,
20DT000530,424 W 119TH ST,Chicago,Illinois,424 W 119TH ST,
20DT000531,424 W 119TH ST,Chicago,Illinois,424 W 119TH ST,
21DT001052,4400 S DREXEL,Chicago,Illinois,4400 S DREXEL,
22DT001045,4646 S DREXEL,Chicago,Illinois,4646 S DREXEL,
21DS20258M,5035 N LINCOLN AVE,Chicago,Illinois,5035 N LINCOLN AVE,
19DT006043,5129 S HARPER,Chicago,Illinois,5129 S HARPER,
21DT003052,4741 W 51ST ST,Chicago,Illinois,4741 W 51ST ST,
21DT003053,5101 S CICERO,Chicago,Illinois,5101 S CICERO,
21DT001158,516 E OAKWOOD,Chicago,Illinois,516 E OAKWOOD,
22DS04149M,5849 S BISHOP ST,Chicago,Illinois,5849 S BISHOP ST,
20DS76790L,6163 N NORTHWEST HWY,Chicago,Illinois,6163 N NORTHWEST HWY,
