docket,dept
22CS00058A,BAFCONP
22CS00059A,BAFCONP
20CP00166A,POLICE
20CP00167A,POLICE
20CP005520,POLICE
20CP007989,POLICE
20CP008001,POLICE
20CP008002,POLICE
20CP008450,POLICE
20CP008508,POLICE
20CP012097,POLICE
20CP012098,POLICE
20CP012099,POLICE
20CP012141,POLICE
21CP001043,POLICE
21CP002213,POLICE
21CP002214,POLICE
21CP002398,POLICE
22CP000622,POLICE
22CP000767,POLICE
22CP001080,POLICE
22CP001430,POLICE
22CP001431,POLICE
22CP001604,POLICE
22CP001691,POLICE
22CP001810,POLICE
22CS000494,POLICE
19DS68300L,STRTSAN
19DS69216L,STRTSAN
19DS70010L,STRTSAN
19DS72153L,STRTSAN
19DS72160L,STRTSAN
19DS72172L,STRTSAN
19DS72178L,STRTSAN
19DS72191L,STRTSAN
19DS72200L,STRTSAN
19DS72216L,STRTSAN
19DS72224L,STRTSAN
19DS72255L,STRTSAN
19DS72301L,STRTSAN
19DS72310L,STRTSAN
19DS72311L,STRTSAN
19DS72319L,STRTSAN
19DS72378L,STRTSAN
19DS72388L,STRTSAN
19DS72428L,STRTSAN
19DS72434L,STRTSAN
19DS72474L,STRTSAN
19DS72505L,STRTSAN
20DS72557L,STRTSAN
20DS72598L,STRTSAN
20DS72639L,STRTSAN
20DS72695L,STRTSAN
20DS72765L,STRTSAN
20DS72805L,STRTSAN
20DS72942L,STRTSAN
20DS73439L,STRTSAN
20DS73674L,STRTSAN
20DS73871L,STRTSAN
20DS74442L,STRTSAN
20DS74580L,STRTSAN
20DS74596L,STRTSAN
20DS74649L,STRTSAN
20DS75523L,STRTSAN
20DS75556L,STRTSAN
20DS75558L,STRTSAN
20DS75561L,STRTSAN
20DS75580L,STRTSAN
20DS75583L,STRTSAN
20DS75589L,STRTSAN
20DS75592L,STRTSAN
20DS75602L,STRTSAN
20DS75603L,STRTSAN
20DS75628L,STRTSAN
20DS75640L,STRTSAN
20DS75650L,STRTSAN
20DS75688L,STRTSAN
20DS75693L,STRTSAN
20DS75718L,STRTSAN
20DS75730L,STRTSAN
20DS75740L,STRTSAN
20DS75749L,STRTSAN
20DS75771L,STRTSAN
20DS75772L,STRTSAN
20DS75787L,STRTSAN
20DS75789L,STRTSAN
20DS75792L,STRTSAN
20DS75798L,STRTSAN
20DS75804L,STRTSAN
20DS75836L,STRTSAN
20DS75837L,STRTSAN
20DS75850L,STRTSAN
20DS75858L,STRTSAN
20DS75863L,STRTSAN
20DS75868L,STRTSAN
20DS75870L,STRTSAN
20DS75871L,STRTSAN
20DS75874L,STRTSAN
20DS75875L,STRTSAN
20DS75876L,STRTSAN
20DS75880L,STRTSAN
20DS75886L,STRTSAN
20DS75889L,STRTSAN
20DS75906L,STRTSAN
20DS75908L,STRTSAN
20DS75909L,STRTSAN
20DS75914L,STRTSAN
20DS75916L,STRTSAN
20DS75919L,STRTSAN
20DS75920L,STRTSAN
20DS75927L,STRTSAN
20DS75933L,STRTSAN
20DS75935L,STRTSAN
20DS75936L,STRTSAN
20DS75940L,STRTSAN
20DS75941L,STRTSAN
20DS75943L,STRTSAN
20DS75946L,STRTSAN
20DS75950L,STRTSAN
20DS75953L,STRTSAN
20DS75956L,STRTSAN
20DS75957L,STRTSAN
20DS75964L,STRTSAN
20DS75965L,STRTSAN
20DS75969L,STRTSAN
20DS75973L,STRTSAN
20DS75976L,STRTSAN
20DS75978L,STRTSAN
20DS75979L,STRTSAN
20DS75981L,STRTSAN
20DS75985L,STRTSAN
20DS75986L,STRTSAN
20DS75992L,STRTSAN
20DS75994L,STRTSAN
