docket,violation_address,city,state,cleaned_address,corrected,result_num,osm_id,display_name,category,type,latlong,shape_area,shape_leng,ward
21DT001240,3311 S ARCHER,Chicago,Illinois,3311 S ARCHER,,"0","320489615","3311, South Archer Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States",place,house,"41.83380201456501,-87.67190666664705","116096507.849","93073.3408379","12"
22DT000758,3415 S ARCHER,Chicago,Illinois,3415 S ARCHER,,"0","320489615","3415, South Archer Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States",place,house,"41.83189515535589,-87.67501435009507","116096507.849","93073.3408379","12"
20DT001445,3600 S WOOD,Chicago,Illinois,3600 S WOOD,,"0","209713145","3600, South Wood Street, Mount Pleasant, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",building,yes,"41.828497999999996,-87.67063469335804","116096507.849","93073.3408379","12"
20DT001104,2361 S WHIPPLE,Chicago,Illinois,2361 S WHIPPLE,,"0","165242877","2361, South Whipple Street, Bohemian California, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",building,yes,"41.848319149999995,-87.70118882099553","116096507.849","93073.3408379","12"
20DT001102,2500 W 35TH ST,Chicago,Illinois,2500 W 35TH ST,,"0","427773773","2500, West 35th Street, Brighton Park, Chicago, Cook County, Illinois, 60632, United States",place,house,"41.830181,-87.694381","116096507.849","93073.3408379","12"
21DT001330,3641 S ARCHER,Chicago,Illinois,3641 S ARCHER,,"0","314063789","3641, South Archer Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",place,house,"41.827608257327064,-87.68200406905852","116096507.849","93073.3408379","12"
20DT000588,3479 S ARCHER,Chicago,Illinois,3479 S ARCHER,,"0","209712794","3479, South Archer Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States",building,yes,"41.8305524,-87.67702026050725","116096507.849","93073.3408379","12"
20DT000845,5230 S ARCHER,Chicago,Illinois,5230 S ARCHER,,"0","145785547","South Archer Avenue, South Brighton, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",highway,secondary,"41.8215115,-87.6921745","116096507.849","93073.3408379","12"
21DT001489,4049 S CALIFORNIA,Chicago,Illinois,4049 S CALIFORNIA,,"0","165153552","4049, South California Avenue, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.81965685,-87.69408936224696","116096507.849","93073.3408379","12"
21DT001517,3600 S ASHLAND,Chicago,Illinois,3600 S ASHLAND,,"0","435329549","3600, South Ashland Avenue, Mount Pleasant, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",place,house,"41.828552,-87.665625","116096507.849","93073.3408379","12"
21DT001490,3269 S ARCHER,Chicago,Illinois,3269 S ARCHER,,"0","209711925","3269, South Archer Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States",building,yes,"41.83430665,-87.67079760052292","116096507.849","93073.3408379","12"
21DT001360,3600 S WESTERN,Chicago,Illinois,3600 S WESTERN,,"0","435372254","3600, South Western Avenue, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",place,house,"41.828327,-87.685083","116096507.849","93073.3408379","12"
21DT001006,3955 S CALIFORNIA,Chicago,Illinois,3955 S CALIFORNIA,,"0","56235778","3955, South California Avenue, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",place,house,"41.82143358650684,-87.69450392370817","116096507.849","93073.3408379","12"
20DS75589L,2000 W 47TH ST,Chicago,Illinois,2000 W 47TH ST,,"0","209708304","Burger King, 2000, West 47th Street, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",amenity,fast_food,"41.8087474,-87.67544458314194","116096507.849","93073.3408379","12"
21DT001359,3655 S WESTERN,Chicago,Illinois,3655 S WESTERN,,"0","387651858","3655, South Western Boulevard, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",place,house,"41.827837133991395,-87.68427937648106","116096507.849","93073.3408379","12"
21DT001477,3901 S KEDZIE,Chicago,Illinois,3901 S KEDZIE,,"0","428620462","3901, South Kedzie Avenue, Corwith, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",place,house,"41.822013,-87.704409","116096507.849","93073.3408379","12"
21DT001476,3238 W 31ST ST,Chicago,Illinois,3238 W 31ST ST,,"0","320180134","3238, West 31st Street, Little Village, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",place,house,"41.8372939603055,-87.70581417656494","116096507.849","93073.3408379","12"
22DT001085,2023 W 35TH ST,Chicago,Illinois,2023 W 35TH ST,,"0","209711581","2023, West 35th Street, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60632, United States",building,yes,"41.83018775,-87.67623943037648","116096507.849","93073.3408379","12"
20DS75863L,26251 W 47TH ST,Chicago,Illinois,26251 W 47TH ST,,"0","435368173","West 47th Street, New City, Chicago, Lake Township, Cook County, Illinois, 60632, United States",highway,secondary,"41.8084762,-87.6784627","116096507.849","93073.3408379","12"
22DT001084,2019 W 35TH ST,Chicago,Illinois,2019 W 35TH ST,,"0","209711577","2019, West 35th Street, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60632, United States",building,yes,"41.83018465,-87.67606756667297","116096507.849","93073.3408379","12"
20DS75523L,2042 W 47TH ST,Chicago,Illinois,2042 W 47TH ST,,"0","209708590","Pizza Hut, 2042, West 47th Street, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",amenity,restaurant,"41.80881765,-87.67630327540712","116096507.849","93073.3408379","12"
21DT001242,3696 S ARCHER,Chicago,Illinois,3696 S ARCHER,,"0","209713716","KFC, 3696, South Archer Avenue, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",amenity,fast_food,"41.82677015,-87.68408311120952","116096507.849","93073.3408379","12"
21DT001362,3986 S ARCHER,Chicago,Illinois,3986 S ARCHER,,"0","145785547","3986, South Archer Avenue, South Brighton, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",place,house,"41.821246944312705,-87.69275127593485","116096507.849","93073.3408379","12"
21DT001244,3867 S ARCHER,Chicago,Illinois,3867 S ARCHER,,"0","233699548","McDonald's, 3867, South Archer Avenue, South Brighton, Brighton Park, Chicago, Cook County, Illinois, 60632, United States",amenity,fast_food,"41.8234166,-87.68859586358116","116096507.849","93073.3408379","12"
21DT001479,3541 S ARCHER,Chicago,Illinois,3541 S ARCHER,,"0","7895372533","Pilsen Bike Shop, 3541, South Archer Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",shop,bicycle,"41.8295681,-87.6787211","116096507.849","93073.3408379","12"
22DS04149M,5849 S BISHOP ST,Chicago,Illinois,5849 S BISHOP ST,,"0","210131052","5849, South Bishop Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.78742555,-87.66005593471402","103143638.546","97901.3238332","16"
22DS04283M,5749 S PEORIA ST,Chicago,Illinois,5749 S PEORIA ST,,"0","196358019","5749, South Peoria Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",place,house,"41.78973906035202,-87.64736141772109","103143638.546","97901.3238332","16"
22DS04371M,6441 S ABERDEEN ST,Chicago,Illinois,6441 S ABERDEEN ST,,"0","210132878","6441-6443, South Aberdeen Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.7765691,-87.65170058734029","103143638.546","97901.3238332","16"
22DS04191M,6220 S DAMEN AVE,Chicago,Illinois,6220 S DAMEN AVE,,"0","209674794","6214-6220, South Damen Avenue, South Lynn, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.78055885,-87.67429811522352","103143638.546","97901.3238332","16"
22DS04357M,6448 S ABERDEEN ST,Chicago,Illinois,6448 S ABERDEEN ST,,"0","210132904","6448, South Aberdeen Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.77639115,-87.65226813204399","103143638.546","97901.3238332","16"
22DS04294M,6343 S THROOP ST,Chicago,Illinois,6343 S THROOP ST,,"0","210132575","6343-6345, South Throop Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.7782988,-87.65661175169123","103143638.546","97901.3238332","16"
22DS03916M,5519 S CARPENTER ST,Chicago,Illinois,5519 S CARPENTER ST,,"0","210161461","5519, South Carpenter Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.79321385,-87.65091281379782","103143638.546","97901.3238332","16"
22DS04370M,6159 S ARTESIAN AVE,Chicago,Illinois,6159 S ARTESIAN AVE,,"0","165134842","6159, South Artesian Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.78119315,-87.68464102209302","103143638.546","97901.3238332","16"
20DS77140L,6349 S WESTERN AVE,Chicago,Illinois,6349 S WESTERN AVE,,"0","428476424","6349, South Western Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.77804915675573,-87.683499171456","103143638.546","97901.3238332","16"
22DS04795M,2820 W 63RD ST,Chicago,Illinois,2820 W 63RD ST,,"0","433281666","2820, West 63rd Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.779186390792205,-87.6941939940105","103143638.546","97901.3238332","16"
23DT000415,3110 W 61ST ST,Chicago,Illinois,3110 W 61ST ST,,"0","208530830","3110, West 61st Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.78272092670012,-87.70120466499394","103143638.546","97901.3238332","16"
23DT000416,3110 W 61ST ST,Chicago,Illinois,3110 W 61ST ST,,"0","208530830","3110, West 61st Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.78272092670012,-87.70120466499394","103143638.546","97901.3238332","16"
23DT000417,3110 W 61ST ST,Chicago,Illinois,3110 W 61ST ST,,"0","208530830","3110, West 61st Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.78272092670012,-87.70120466499394","103143638.546","97901.3238332","16"
23DT000418,3110 W 61ST ST,Chicago,Illinois,3110 W 61ST ST,,"0","208530830","3110, West 61st Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.78272092670012,-87.70120466499394","103143638.546","97901.3238332","16"
23DT000422,3110 W 61ST ST,Chicago,Illinois,3110 W 61ST ST,,"0","208530830","3110, West 61st Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.78272092670012,-87.70120466499394","103143638.546","97901.3238332","16"
23DT000423,3110 W 61ST ST,Chicago,Illinois,3110 W 61ST ST,,"0","208530830","3110, West 61st Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.78272092670012,-87.70120466499394","103143638.546","97901.3238332","16"
20DS77693L,6612 S LOOMIS BLVD,Chicago,Illinois,6612 S LOOMIS BLVD,,"0","210119847","6612, South Loomis Boulevard, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.7735981,-87.65946195921106","103143638.546","97901.3238332","16"
23DS13066M,2435 W 64TH ST,Chicago,Illinois,2435 W 64TH ST,,"0","165130638","2435-2437, West 64th Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.77729225,-87.68514370037326","103143638.546","97901.3238332","16"
22DS04234M,5848 S PEORIA ST,Chicago,Illinois,5848 S PEORIA ST,,"0","210131051","5848-5850, South Peoria Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.7872567,-87.64758860183912","103143638.546","97901.3238332","16"
22CP001604,1049 W MARQUETTE RD,Chicago,Illinois,1049 W MARQUETTE RD,,"0","210118377","1049, West Marquette Road, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.772214000000005,-87.65139034923386","103143638.546","97901.3238332","16"
22DS04164M,5730 S GREEN ST,Chicago,Illinois,5730 S GREEN ST,,"0","210130571","5730, South Green Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.789683249999996,-87.64652324263244","103143638.546","97901.3238332","16"
22DS04176M,6301 S WESTERN AVE,Chicago,Illinois,6301 S WESTERN AVE,,"0","428476424","6301, South Western Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.778536,-87.683512","103143638.546","97901.3238332","16"
