respondent,docket,violation_num,violation_date,hearing_date,violation_address,violation_desc,case_disposition,fine_amt,dept,cleaned_address,latlong,community,ward_1523,lat,long
1010 W MADISON LLC ,23DT000582,T000215159,2023-01-31,7/10/2023,1010 W MADISON ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1010 W MADISON,"41.88196975,-87.6524227995416",NEAR WEST SIDE,25.0,41.88196975,-87.6524227995416
"1100 E 47TH STREET LLC, C/O PETER CASSEL ",22DT001042,T000207342,2022-01-04,5/23/2022,1100 E 47TH ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1100 E 47TH ST,"41.809698,-87.599101",KENWOOD,4.0,41.809698,-87.599101
"1101 BERWYN LLC, C/O JOHN BARRETT ",23DT000559,T000220112,2023-02-02,3/20/2023,1101 W BERWYN ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1101 W BERWYN,"41.978248,-87.65863472496416",EDGEWATER,48.0,41.978248,-87.65863472496416
1157 W ERIE ,22DT001387,T000207431,2022-02-08,4/11/2022,100  UNKNOWN ,10-8-180    Snow and ice removal.,Not Liable,0.0,TRANPORT,,,unknown,unknown,,
1200B INC C/O THOMAS GEORGE ,21DS20339M,QTUF62L,2021-02-05,7/14/2021,1200 W BELMONT AVE,10-8-180    Snow and ice removal.,Not Liable,0.0,STRTSAN,1200 W BELMONT AVE,"41.9401529,-87.659326",LAKE VIEW,44.0,41.9401529,-87.659326
1325 NORTH BOSWORTH HOMEOWNERS ,21DT001182,T000206613,2021-02-26,5/3/2021,1325 N BOSWORTH ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1325 N BOSWORTH,"41.90589935,-87.66596515",WEST TOWN,2.0,41.90589935,-87.66596515
1400 N ORLEANS PROP ,22DT001232,T000207439,2022-02-10,8/8/2022,326 W SCHILLER ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,326 W SCHILLER,"41.907693570086394,-87.63785520601517",NEAR NORTH SIDE,27.0,41.907693570086394,-87.63785520601517
1400 N ORLEANS PROP ,23DT000580,T000215161,2023-01-30,7/10/2023,1401 N SEDGWICK ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1401 N SEDGWICK,"41.907726,-87.638378",NEAR NORTH SIDE,27.0,41.907726,-87.638378
"1445 LILL LLC, C/O TIMOTHY NELSON ",21DT000380,T000206466,2021-01-25,3/15/2021,1445 W LILL ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,1445 W LILL,"41.92771535,-87.66514980071959",LINCOLN PARK,2.0,41.92771535,-87.66514980071959
1516 FARWELL CONDOMINIUM ASSOCIATION INC. c/o CHARLES LEVY ,20DS75874L,275874L,2020-01-21,5/26/2020,1516 W FARWELL AVE,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,1516 W FARWELL AVE,"42.006943449999994,-87.6686648655629",ROGERS PARK,49.0,42.006943449999994,-87.6686648655629
1516 FARWELL CONDOMINIUM ASSOCIATION INC. c/o CHARLES LEVY ,20DS75874L,275874L,2020-01-21,7/28/2020,1516 W FARWELL AVE,10-8-180    Snow and ice removal.,Non-Suit,0.0,STRTSAN,1516 W FARWELL AVE,"42.006943449999994,-87.6686648655629",ROGERS PARK,49.0,42.006943449999994,-87.6686648655629
1606 W MADISON LAND CT AND T8002364380 ,21DT001065,T000206562,2021-02-20,5/24/2021,1600 W MADISON ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1600 W MADISON ST,"41.881535,-87.667019",NEAR WEST SIDE,27.0,41.881535,-87.667019
"164 PARTNERS LLC, C/O BRENDAN MARTIN ",21DT000514,T000207061,2021-02-01,4/5/2021,164 E GRAND ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,164 E GRAND AVE,"41.8919786,-87.6229324",NEAR NORTH SIDE,42.0,41.8919786,-87.6229324
"164 PARTNERS LLC, C/O BRENDAN MARTIN ",21DT000514,T000207061,2021-02-01,4/26/2021,164 E GRAND ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,164 E GRAND AVE,"41.8919786,-87.6229324",NEAR NORTH SIDE,42.0,41.8919786,-87.6229324
17 35 N BISHOP LLC C/O VICTOR JAKOVLEJEVIC ,21DT001071,T000206558,2021-02-20,5/10/2021,19 N BISHOP ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,19 N BISHOP ST,"41.88215965,-87.66338327417019",NEAR WEST SIDE,27.0,41.88215965,-87.66338327417019
1801 STATE LLC C/O JOHN H WINAND ,21DT001169,T000207110,2021-02-22,6/28/2021,1801 S STATE ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,1801 S STATE ST,"41.85767787889323,-87.62738707098137",NEAR SOUTH SIDE,3.0,41.85767787889323,-87.62738707098137
"1850 1856 N LINCOLN AVE CONDO ASSN, C/O WILLIAM DEAKIN/LISA DIEHLMANN ",21DT000634,T000207016,2021-02-06,9/14/2021,1848 N LINCOLN ,10-8-180    Snow and ice removal.,Vacated,0.0,TRANPORT,1848 N LINCOLN,"41.91604825,-87.63597964145973",LINCOLN PARK,43.0,41.91604825,-87.63597964145973
"1858 NS LLC, C/O RYAN CAHALAN ",21DT000619,T000207012,2021-02-06,6/7/2021,1858 N SHEFFIELD ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1858 N SHEFFIELD,"41.915535250000005,-87.65349453808724",LINCOLN PARK,43.0,41.915535250000005,-87.65349453808724
"20 WEST ONTARIO LLC, C/O CHAD MIDDENDORF ",21DT000533,T000207070,2021-02-02,10/25/2021,20 W ONTARIO ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,20 W ONTARIO ST,"41.893461099999996,-87.62896888012445",NEAR NORTH SIDE,42.0,41.893461099999996,-87.62896888012445
"2200 N KENMORE LLC, C/O MARK BISCHOFF ",21DT000384,T000206463,2021-01-21,4/19/2021,2206 N KENMORE ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,2206 N KENMORE,"41.9220612,-87.6549597738041",LINCOLN PARK,43.0,41.9220612,-87.6549597738041
"2500 S DEARBORN LLC, C/O WALLACE K MOY ",22DT001228,T000207361,2022-01-11,5/23/2022,2559 S FEDERAL ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,2559 S FEDERAL ST,"41.8460188340259,-87.62907315299805",NEAR SOUTH SIDE,3.0,41.8460188340259,-87.62907315299805
"2612 W. BARRY, LLC c/o DARREN FLYNN ",20DS77811L,277811L,2020-02-15,5/19/2020,2612 W BARRY AVE,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,2612 W BARRY AVE,"41.9380012,-87.69366845041586",AVONDALE,33.0,41.9380012,-87.69366845041586
"2612 W. BARRY, LLC c/o DARREN FLYNN ",20DS77811L,277811L,2020-02-15,7/21/2020,2612 W BARRY AVE,10-8-180    Snow and ice removal.,Non-Suit,0.0,STRTSAN,2612 W BARRY AVE,"41.9380012,-87.69366845041586",AVONDALE,33.0,41.9380012,-87.69366845041586
"2612 W. BARRY, LLC c/o MICHAEL S. FRIMAN ",20DS77811L,277811L,2020-02-15,5/19/2020,2612 W BARRY AVE,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,2612 W BARRY AVE,"41.9380012,-87.69366845041586",AVONDALE,33.0,41.9380012,-87.69366845041586
"2612 W. BARRY, LLC c/o MICHAEL S. FRIMAN ",20DS77811L,277811L,2020-02-15,7/21/2020,2612 W BARRY AVE,10-8-180    Snow and ice removal.,Non-Suit,0.0,STRTSAN,2612 W BARRY AVE,"41.9380012,-87.69366845041586",AVONDALE,33.0,41.9380012,-87.69366845041586
2670 LINCOLN LLC c/o ZAFAR HUSSAIN ,20DS77340L,277340L,2020-02-07,3/16/2020,2668 N LINCOLN AVE,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,2668 N LINCOLN AVE,"41.93004574457733,-87.65535782468918",LINCOLN PARK,43.0,41.93004574457733,-87.65535782468918
2670 LINCOLN LLC c/o ZAFAR HUSSAIN ,20DS77340L,277340L,2020-02-07,5/18/2020,2668 N LINCOLN AVE,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,2668 N LINCOLN AVE,"41.93004574457733,-87.65535782468918",LINCOLN PARK,43.0,41.93004574457733,-87.65535782468918
2670 LINCOLN LLC c/o ZAFAR HUSSAIN ,20DS77340L,277340L,2020-02-07,7/20/2020,2668 N LINCOLN AVE,10-8-180    Snow and ice removal.,Non-Suit,0.0,STRTSAN,2668 N LINCOLN AVE,"41.93004574457733,-87.65535782468918",LINCOLN PARK,43.0,41.93004574457733,-87.65535782468918
