docket,cleaned_address,latlong,community,ward_1523,lat,long
21DT001189,3832 S WABASH,"41.8246153,-87.62519449555593",DOUGLAS,3,41.8246153,-87.62519449555593
22DT001565,2831 S MICHIGAN,"41.842898074485504,-87.62367788440045",DOUGLAS,3,41.842898074485504,-87.62367788440045
22DT001566,250 E 29TH ST,"41.84211911644582,-87.61996275276782",DOUGLAS,4,41.84211911644582,-87.61996275276782
20DT000917,3100 S INDIANA,"41.838241,-87.622033",DOUGLAS,3,41.838241,-87.622033
22DT001221,835 E 35TH ST,"41.8310311,-87.6245552",DOUGLAS,3,41.8310311,-87.6245552
22DT001150,2609 S STATE ST,"41.84536641732665,-87.62706584039985",DOUGLAS,3,41.84536641732665,-87.62706584039985
21DT000478,3317 S PRAIRIE,"41.834323092878925,-87.62050356526285",DOUGLAS,4,41.834323092878925,-87.62050356526285
22DT001576,412 E 31ST ST,"41.83851021816535,-87.61669387386904",DOUGLAS,4,41.83851021816535,-87.61669387386904
21DT000557,300 E 35TH ST,"41.831287,-87.6189658859841",DOUGLAS,4,41.831287,-87.6189658859841
21DT000497,124 E 37TH ST,"41.82747979571899,-87.62289776081194",DOUGLAS,3,41.82747979571899,-87.62289776081194
21DT000554,318 E 35TH ST,"41.83154305,-87.61850130048379",DOUGLAS,4,41.83154305,-87.61850130048379
21DT001183,3526 S PRAIRIE,"41.8302224,-87.62082814535663",DOUGLAS,3,41.8302224,-87.62082814535663
22DT001575,340 E 35TH ST,"41.83118935197544,-87.61791692047072",DOUGLAS,4,41.83118935197544,-87.61791692047072
22DT001578,329 E 35TH ST,"41.830902550000005,-87.61791026981903",DOUGLAS,4,41.830902550000005,-87.61791026981903
21DT000493,3658 S PRAIRIE,"41.828145583678925,-87.62059581323",DOUGLAS,3,41.828145583678925,-87.62059581323
21DT001180,3658 S PRAIRIE,"41.828145583678925,-87.62059581323",DOUGLAS,3,41.828145583678925,-87.62059581323
21DT001045,4020 S DREXEL,"41.820772500000004,-87.60576603039215",OAKLAND,4,41.820772500000004,-87.60576603039215
20DS76208L,831 E OAKWOOD BLVD,"41.8238442,-87.6043918",OAKLAND,4,41.8238442,-87.6043918
22DT001223,812 E 41ST ST,"41.820672599999995,-87.60623398205686",OAKLAND,4,41.820672599999995,-87.60623398205686
22DT001222,3807 S COTTAGE GROVE,"41.8259,-87.60761175704143",OAKLAND,4,41.8259,-87.60761175704143
21DT000541,3838 S ELLIS,"41.825323999999995,-87.60617676129084",OAKLAND,4,41.825323999999995,-87.60617676129084
21DT000540,3845 S ELLIS,"41.825323850000004,-87.60554871886407",OAKLAND,4,41.825323850000004,-87.60554871886407
21DT000476,3601 S LAKE PARK AVE,"41.8294838,-87.6065044586771",OAKLAND,4,41.8294838,-87.6065044586771
21DT001051,3701 S ELLIS,"41.82809105,-87.60719864517449",OAKLAND,4,41.82809105,-87.60719864517449
22DT001229,3635 S LAKE PARK AVE,"41.82956300456659,-87.60689713361698",OAKLAND,4,41.82956300456659,-87.60689713361698
22DT001571,808 E 37TH ST,"41.82877866834548,-87.60620163403156",OAKLAND,4,41.82877866834548,-87.60620163403156
22DT001572,4147 S COTTAGE GROVE,"41.82002682994475,-87.60668561431326",OAKLAND,4,41.82002682994475,-87.60668561431326
22DT001557,3866 S ELLIS,"41.82455365,-87.60574031812169",OAKLAND,4,41.82455365,-87.60574031812169
21DT000626,649 E 37TH ST,"41.8272792,-87.60953607862959",OAKLAND,4,41.8272792,-87.60953607862959
21DT001195,4860 S PRINCETON,"41.80581039285715,-87.63338907142858",FULLER PARK,3,41.80581039285715,-87.63338907142858
20DT000506,4405 S PRINCETON,"41.814185570466826,-87.63339756067468",FULLER PARK,3,41.814185570466826,-87.63339756067468
21DT000492,4405 S PRINCETON,"41.814185570466826,-87.63339756067468",FULLER PARK,3,41.814185570466826,-87.63339756067468
21DT001158,516 E OAKWOOD,"41.82275907275542,-87.61340697678042",GRAND BOULEVARD,3,41.82275907275542,-87.61340697678042
21DT000553,358 E 43RD ST,"41.81670007136493,-87.618024861131",GRAND BOULEVARD,3,41.81670007136493,-87.618024861131
21DT001159,4559 S ST LAWRENCE,"41.81146075,-87.6112039497306",GRAND BOULEVARD,3,41.81146075,-87.6112039497306
21DT001054,4341 S CHAMPLAIN,"41.81575306960828,-87.61027588257875",GRAND BOULEVARD,4,41.81575306960828,-87.61027588257875
22DT001562,562 E OAKWOOD,"41.82276313768007,-87.61225941319043",GRAND BOULEVARD,4,41.82276313768007,-87.61225941319043
21DT000627,602 E OAKWOOD,"41.82277057940304,-87.61158575747916",GRAND BOULEVARD,4,41.82277057940304,-87.61158575747916
21DT000524,347 E 43RD ST,"41.81643715,-87.61791211534035",GRAND BOULEVARD,3,41.81643715,-87.61791211534035
22DT001577,4342 S CHAMPLAIN,"41.8154473,-87.61068996727272",GRAND BOULEVARD,4,41.8154473,-87.61068996727272
21DT001057,618 E BOWEN,"41.81972575,-87.61099550379728",GRAND BOULEVARD,4,41.81972575,-87.61099550379728
21DT000558,4219 S CHAMPLAIN,"41.81799875,-87.61018111617875",GRAND BOULEVARD,4,41.81799875,-87.61018111617875
20DT000518,4917 S CHAMPLAIN,"41.8052521,-87.60978780599305",GRAND BOULEVARD,4,41.8052521,-87.60978780599305
21DT001157,4560 S MICHIGAN,"41.81126505,-87.62326840038236",GRAND BOULEVARD,3,41.81126505,-87.62326840038236
21DT001174,4901 S DR MARTIN LUTHER KING JR DR,"41.8056251,-87.6159212495658",GRAND BOULEVARD,3,41.8056251,-87.6159212495658
21DT001029,656 E BOWEN,"41.81963585,-87.60962525019492",GRAND BOULEVARD,4,41.81963585,-87.60962525019492
21DT001193,4502 S ST LAWRENCE,"41.81293933333333,-87.61165",GRAND BOULEVARD,3,41.81293933333333,-87.61165
21DT001181,4824 S INDIANA,"41.80698128569031,-87.62126144987523",GRAND BOULEVARD,3,41.80698128569031,-87.62126144987523
21DT000506,4158 S CALUMET,"41.8185438,-87.61867045449313",GRAND BOULEVARD,3,41.8185438,-87.61867045449313
21DS20610M,619 E 43RD ST,"41.81666053644456,-87.61085262337846",GRAND BOULEVARD,4,41.81666053644456,-87.61085262337846
22DT001564,600 E 51ST ST,"41.802483699999996,-87.61051930983557",GRAND BOULEVARD,4,41.802483699999996,-87.61051930983557
21DT000583,555 E 43RD ST,"41.81662763761983,-87.61258715301817",GRAND BOULEVARD,4,41.81662763761983,-87.61258715301817
21DT000334,515 E PERSHING RD,"41.82379121705313,-87.61399556896437",GRAND BOULEVARD,3,41.82379121705313,-87.61399556896437
21DT001203,4523 S VINCENNES,"41.81235005,-87.61360675078771",GRAND BOULEVARD,3,41.81235005,-87.61360675078771
21DT000570,4213 S MICHIGAN,"41.81783525,-87.62267265555326",GRAND BOULEVARD,3,41.81783525,-87.62267265555326
22DT001071,4848  LAWRENCE,"41.806747061095194,-87.61150135299111",GRAND BOULEVARD,4,41.806747061095194,-87.61150135299111
22DT001569,5050 S MICHIGAN,"41.80289298373765,-87.6227801160045",GRAND BOULEVARD,3,41.80289298373765,-87.6227801160045
21DS20734M,716 E BOWEN AVE,"41.81969025,-87.60873527251655",GRAND BOULEVARD,4,41.81969025,-87.60873527251655
21DS20730M,618 E BOWEN AVE,"41.81972575,-87.61099550379728",GRAND BOULEVARD,4,41.81972575,-87.61099550379728
21DT001058,551 E 46TH ST,"41.8110366,-87.6117681759434",GRAND BOULEVARD,3,41.8110366,-87.6117681759434
19DS70010L,715 E 47TH ST,"41.8093383,-87.6080127",GRAND BOULEVARD,4,41.8093383,-87.6080127
22DT001151,700 E 47TH ST,"41.8096569,-87.6087267",GRAND BOULEVARD,4,41.8096569,-87.6087267
21DT000582,4231 S LANGLEY,"41.81762245,-87.60886926461538",GRAND BOULEVARD,4,41.81762245,-87.60886926461538
22DT001556,5002 S PRAIRIE,"41.80371688104369,-87.61955807093928",GRAND BOULEVARD,3,41.80371688104369,-87.61955807093928
21DT001163,4558 S ST LAWRENCE,"41.81155815384616,-87.61161507692307",GRAND BOULEVARD,3,41.81155815384616,-87.61161507692307
21DT000536,4917 S CHAMPLAIN,"41.8052521,-87.60978780599305",GRAND BOULEVARD,4,41.8052521,-87.60978780599305
20DT000513,4930 S CHAMPLAIN,"41.805235162649474,-87.61021792741845",GRAND BOULEVARD,4,41.805235162649474,-87.61021792741845
21DT001085,3908 S KING JR DR,"41.823629648900905,-87.61736312392138",GRAND BOULEVARD,3,41.823629648900905,-87.61736312392138
21DT000584,521 E OAKWOOD,"41.82246135,-87.61319188583093",GRAND BOULEVARD,3,41.82246135,-87.61319188583093
21DT000527,517 E 44TH PL,"41.81389712244898,-87.61298697959184",GRAND BOULEVARD,3,41.81389712244898,-87.61298697959184
21DT001207,537 E 46TH ST,"41.81118322351746,-87.61236014191755",GRAND BOULEVARD,3,41.81118322351746,-87.61236014191755
22DT001152,4357 S CHAMPLAIN,"41.81556189745159,-87.61027063561025",GRAND BOULEVARD,4,41.81556189745159,-87.61027063561025
21DT000537,562 E OAKWOOD,"41.82276313768007,-87.61225941319043",GRAND BOULEVARD,4,41.82276313768007,-87.61225941319043
21DT000510,4925 S DR MARTIN LUTHER KING JR DR,"41.80523880246044,-87.61610941323552",GRAND BOULEVARD,3,41.80523880246044,-87.61610941323552
21DS20733M,656 E BOWEN AVE,"41.81963585,-87.60962525019492",GRAND BOULEVARD,4,41.81963585,-87.60962525019492
21DT000535,4926 S CHAMPLAIN,"41.8049607,-87.61042844119217",GRAND BOULEVARD,4,41.8049607,-87.61042844119217
21DT000525,530 E 44TH PL,"41.81406297959184,-87.61288083673469",GRAND BOULEVARD,3,41.81406297959184,-87.61288083673469
21DT000556,4800 S CHAMPLAIN,"41.8075131,-87.61045148174573",GRAND BOULEVARD,4,41.8075131,-87.61045148174573
21DT001100,543 E PERSHING RD,"41.82379623345031,-87.61359271368309",GRAND BOULEVARD,3,41.82379623345031,-87.61359271368309
22DT001128,722 E 47TH ST,"41.80959222494112,-87.6081002296517",GRAND BOULEVARD,4,41.80959222494112,-87.6081002296517
21DT000526,539 E 44TH PL,"41.81390004081633,-87.61281232653062",GRAND BOULEVARD,3,41.81390004081633,-87.61281232653062
21DT000564,4800 S DR MARTIN LUTHER KING JR DR,"41.807414449999996,-87.61716515526469",GRAND BOULEVARD,3,41.807414449999996,-87.61716515526469
21DT001099,609 E PERSHING RD,"41.82381204416623,-87.61225767170909",GRAND BOULEVARD,4,41.82381204416623,-87.61225767170909
21DT001084,3 E 51ST ST,"41.802045061673915,-87.62491995815716",GRAND BOULEVARD,3,41.802045061673915,-87.62491995815716
22DT001042,1100 E 47TH ST,"41.809698,-87.599101",KENWOOD,4,41.809698,-87.599101
21DT001052,4400 S DREXEL,"41.81485685,-87.60502021402223",KENWOOD,4,41.81485685,-87.60502021402223
22DT001045,4646 S DREXEL,"41.81006100070676,-87.60379691714269",KENWOOD,4,41.81006100070676,-87.60379691714269
22DT001558,4630 S GREENWOOD,"41.8104952,-87.59955578132602",KENWOOD,4,41.8104952,-87.59955578132602
20DS77477L,4438 S GREENWOOD AVE,"41.814062727186474,-87.59946675986507",KENWOOD,4,41.814062727186474,-87.59946675986507
21DT001046,1214 E 46TH ST,"41.81082439199179,-87.59634332378195",KENWOOD,4,41.81082439199179,-87.59634332378195
20DS75933L,4533 S GREENWOOD AVE,"41.81221875,-87.59891056136364",KENWOOD,4,41.81221875,-87.59891056136364
21DS20821M,4324 S DREXEL BLVD,"41.816356910921336,-87.60393225330478",KENWOOD,4,41.816356910921336,-87.60393225330478
22DT001573,1203 E 50TH ST,"41.8039689,-87.59651495209303",KENWOOD,4,41.8039689,-87.59651495209303
22DT001568,4301 S GREENWOOD,"41.816773,-87.599304",KENWOOD,4,41.816773,-87.599304
21DT000594,4501 S GREENWOOD,"41.813133,-87.599227",KENWOOD,4,41.813133,-87.599227
21DT000596,4500 S LAKE PARK AVE,"41.8130782,-87.59636152287706",KENWOOD,4,41.8130782,-87.59636152287706
20DS75964L,4446 S GREENWOOD AVE,"41.81371695,-87.5997079735246",KENWOOD,4,41.81371695,-87.5997079735246
22DT001149,4354 S DREXEL,"41.8152568,-87.60476944336735",KENWOOD,4,41.8152568,-87.60476944336735
22DT001567,4301 S GREENWOOD,"41.816773,-87.599304",KENWOOD,4,41.816773,-87.599304
22DT001148,4656 S LAKE PARK AVE,"41.81037434921602,-87.59339836361376",KENWOOD,4,41.81037434921602,-87.59339836361376
20DS76329L,4314 S GREENWOOD AVE,"41.8163744,-87.59971264845149",KENWOOD,4,41.8163744,-87.59971264845149
21DT001053,4500 S LAKE PARK AVE,"41.8130782,-87.59636152287706",KENWOOD,4,41.8130782,-87.59636152287706
21DT000595,4514 S LAKE PARK AVE,"41.8127487,-87.59611993969867",KENWOOD,4,41.8127487,-87.59611993969867
21DT000597,1217 E 46TH ST,"41.8105252,-87.5960751028135",KENWOOD,4,41.8105252,-87.5960751028135
21DT000598,4523 S WOODLAWN,"41.8117365,-87.59660749394172",KENWOOD,4,41.8117365,-87.59660749394172
20DS76128L,4426 S GREENWOOD AVE,"41.81424725,-87.59969077260962",KENWOOD,4,41.81424725,-87.59969077260962
21DT000485,4355 S COTTAGE GROVE,"41.8151438,-87.6061821",KENWOOD,4,41.8151438,-87.6061821
20DS76779L,4324 S DREXEL BLVD,"41.816356910921336,-87.60393225330478",KENWOOD,4,41.816356910921336,-87.60393225330478
20DS75965L,4454 S GREENWOOD AVE,"41.81356945,-87.59966662367549",KENWOOD,4,41.81356945,-87.59966662367549
20DS75973L,4531 S GREENWOOD AVE,"41.81227905,-87.59890397948178",KENWOOD,4,41.81227905,-87.59890397948178
20DS76032L,4504 S WOODLAWN AVE,"41.8130019,-87.59731205104517",KENWOOD,4,41.8130019,-87.59731205104517
20DS76218L,4539 S GREENWOOD AVE,"41.8120561,-87.59890845216867",KENWOOD,4,41.8120561,-87.59890845216867
21DS20759M,4318 S GREENWOOD AVE,"41.81648128213535,-87.59951702564271",KENWOOD,4,41.81648128213535,-87.59951702564271
22DS04587M,4318 S GREENWOOD AVE,"41.81648128213535,-87.59951702564271",KENWOOD,4,41.81648128213535,-87.59951702564271
20DS76268L,4537 S GREENWOOD AVE,"41.81210685,-87.59889762828125",KENWOOD,4,41.81210685,-87.59889762828125
21DT000538,4455 S WOODLAWN,"41.81368488423158,-87.5968051660604",KENWOOD,4,41.81368488423158,-87.5968051660604
20DS75950L,4504 S WOODLAWN AVE,"41.8130019,-87.59731205104517",KENWOOD,4,41.8130019,-87.59731205104517
21DS20258M,5035 N LINCOLN AVE,"41.972075000000004,-87.6906605",LINCOLN SQUARE,40,41.972075000000004,-87.6906605
21DS20236M,2257 W FOSTER AVE,"41.97585933039413,-87.68565985583832",LINCOLN SQUARE,40,41.97585933039413,-87.68565985583832
21DT001120,2549 W LAWRENCE,"41.968658496598984,-87.69318599994888",LINCOLN SQUARE,40,41.968658496598984,-87.69318599994888
21DS20267M,5050 N LINCOLN AVE,"41.97312879175904,-87.69159419884438",LINCOLN SQUARE,40,41.97312879175904,-87.69159419884438
22DT001487,4860 N CALIFORNIA,"41.970286400000006,-87.6990314590164",LINCOLN SQUARE,40,41.970286400000006,-87.6990314590164
20DT000490,5401 N LINCOLN,"41.97980665,-87.69246677435173",LINCOLN SQUARE,40,41.97980665,-87.69246677435173
22DT001303,5029 N WESTERN,"41.97322921041747,-87.68894884549734",LINCOLN SQUARE,40,41.97322921041747,-87.68894884549734
22DT001307,5055 N WESTERN,"41.97387165,-87.6887950022003",LINCOLN SQUARE,40,41.97387165,-87.6887950022003
22DT001091,4908 N LINCOLN,"41.97099505,-87.69032770004941",LINCOLN SQUARE,40,41.97099505,-87.69032770004941
20DT000493,5435 N WOLCOTT,"41.98005101340253,-87.67662966704118",LINCOLN SQUARE,40,41.98005101340253,-87.67662966704118
20DT000880,5206 N WESTERN,"41.9762177,-87.6897179416725",LINCOLN SQUARE,40,41.9762177,-87.6897179416725
20DS76051L,2257 W FOSTER AVE,"41.97585933039413,-87.68565985583832",LINCOLN SQUARE,40,41.97585933039413,-87.68565985583832
21DS20379M,2257 W FOSTER AVE,"41.97585933039413,-87.68565985583832",LINCOLN SQUARE,40,41.97585933039413,-87.68565985583832
20DS76255L,2321 W FOSTER AVE,"41.97571215,-87.68767369969271",LINCOLN SQUARE,40,41.97571215,-87.68767369969271
23DT000663,2257 W FOSTER,"41.97585933039413,-87.68565985583832",LINCOLN SQUARE,40,41.97585933039413,-87.68565985583832
23DT000499,5341 N LINCOLN,"41.979199,-87.6919924968602",LINCOLN SQUARE,40,41.979199,-87.6919924968602
21DT001121,2555 W LAWRENCE,"41.968658124250425,-87.69324073518763",LINCOLN SQUARE,40,41.968658124250425,-87.69324073518763
21DT001119,2501 W LAWRENCE,"41.9682955,-87.6916405",LINCOLN SQUARE,40,41.9682955,-87.6916405
23DT000432,2424 W CATALPA,"41.981544650000004,-87.69021647021692",LINCOLN SQUARE,40,41.981544650000004,-87.69021647021692
21DS20260M,2449 W LAWRENCE AVE,"41.9683499,-87.69055925105238",LINCOLN SQUARE,40,41.9683499,-87.69055925105238
22DT001087,2601 W FOSTER,"41.97562695,-87.69426616083246",LINCOLN SQUARE,40,41.97562695,-87.69426616083246
21DS20400M,5220 N LINCOLN AVE,"41.97702683277049,-87.69255788573244",LINCOLN SQUARE,40,41.97702683277049,-87.69255788573244
22DT001480,2449 W LAWRENCE,"41.9683499,-87.69055925105238",LINCOLN SQUARE,40,41.9683499,-87.69055925105238
20DT000881,5150 N WESTERN,"41.9755934,-87.68957037049961",LINCOLN SQUARE,40,41.9755934,-87.68957037049961
22DT001079,4815 N WESTERN,"41.96990700777307,-87.68883588039417",LINCOLN SQUARE,47,41.96990700777307,-87.68883588039417
21DT000935,115 W LAWRENCE,"41.9687674,-87.6783338",LINCOLN SQUARE,47,41.9687674,-87.6783338
20DT000492,5401 N WOLCOTT,"41.98009975,-87.67584121896152",LINCOLN SQUARE,40,41.98009975,-87.67584121896152
23DT000430,5050 N LINCOLN,"41.97312879175904,-87.69159419884438",LINCOLN SQUARE,40,41.97312879175904,-87.69159419884438
21DS20281M,2321 W FOSTER AVE,"41.97571215,-87.68767369969271",LINCOLN SQUARE,40,41.97571215,-87.68767369969271
20DS76337L,2343 W FOSTER AVE,"41.97569795,-87.68843782447951",LINCOLN SQUARE,40,41.97569795,-87.68843782447951
20DS76212L,2341 W FOSTER AVE,"41.97569795,-87.68843782447951",LINCOLN SQUARE,40,41.97569795,-87.68843782447951
21DT000933,2201 W LAWRENCE,"41.96876481112712,-87.68421617716923",LINCOLN SQUARE,47,41.96876481112712,-87.68421617716923
21DT001132,2449 W LAWRENCE,"41.9683499,-87.69055925105238",LINCOLN SQUARE,40,41.9683499,-87.69055925105238
22DT001088,4874 N LINCOLN,"41.970577649999996,-87.69013188679841",LINCOLN SQUARE,40,41.970577649999996,-87.69013188679841
21DS20792M,5216 N LINCOLN AVE,"41.97699986538044,-87.6925537139815",LINCOLN SQUARE,40,41.97699986538044,-87.6925537139815
20DS75858L,4921 N TALMAN AVE,"41.9714158,-87.69485474891641",LINCOLN SQUARE,40,41.9714158,-87.69485474891641
21DT001133,2401 W LAWRENCE,"41.968531,-87.689071",LINCOLN SQUARE,40,41.968531,-87.689071
20DT001658,48 E GARFIELD,"41.79489145,-87.62363210000001",WASHINGTON PARK,3,41.79489145,-87.62363210000001
21DT001082,5100 S WABASH,"41.80171665,-87.62476938127166",WASHINGTON PARK,3,41.80171665,-87.62476938127166
20DT001657,70 E GARFIELD,"41.7950291,-87.62295673561042",WASHINGTON PARK,3,41.7950291,-87.62295673561042
22DT001129,5257 S PRAIRIE,"41.79925146101762,-87.6192278147678",WASHINGTON PARK,3,41.79925146101762,-87.6192278147678
20DT000509,5127 S INDIANA,"41.80116785,-87.62063614685714",WASHINGTON PARK,3,41.80116785,-87.62063614685714
21DT001042,5200 S LAKE PARK,"41.7999873,-87.6259791",WASHINGTON PARK,3,41.7999873,-87.6259791
21DT000630,5200 S LAKE PARK,"41.7999873,-87.6259791",WASHINGTON PARK,3,41.7999873,-87.6259791
20DT000510,5101 S INDIANA,"41.801905,-87.620914",WASHINGTON PARK,3,41.801905,-87.620914
21DT001041,5200 S LAKE PARK,"41.7999873,-87.6259791",WASHINGTON PARK,3,41.7999873,-87.6259791
21DT001196,5150 S INDIANA,"41.800498250000004,-87.62135350084745",WASHINGTON PARK,3,41.800498250000004,-87.62135350084745
19DT006043,5129 S HARPER,"41.80146445,-87.5887856629542",HYDE PARK,4,41.80146445,-87.5887856629542
22DT001858,1303 E HYDE PARK,"41.7944464,-87.5939244",HYDE PARK,5,41.7944464,-87.5939244
19DT006077,1400 E 53RD ST,"41.799881,-87.5916394",HYDE PARK,4,41.799881,-87.5916394
21DT000781,5642 S KIMBARK,"41.792099449999995,-87.59519583708564",HYDE PARK,5,41.792099449999995,-87.59519583708564
21DT000539,5101 S ELLIS,"41.8020494,-87.6011127521022",HYDE PARK,5,41.8020494,-87.6011127521022
22CP001080,6135 S VERNON AVE,"41.782876,-87.61420036417005",WOODLAWN,20,41.782876,-87.61420036417005
22CP001691,6331 S RHODES,"41.779349100000005,-87.6117346934482",WOODLAWN,20,41.779349100000005,-87.6117346934482
22CS00058A,6621 S LANGLEY,"41.77428827326702,-87.6081395193137",WOODLAWN,20,41.77428827326702,-87.6081395193137
22CS00059A,6613 S LANGLEY AVE,"41.77445779999999,-87.60797922152543",WOODLAWN,20,41.77445779999999,-87.60797922152543
20DS75874L,1516 W FARWELL AVE,"42.006943449999994,-87.6686648655629",ROGERS PARK,49,42.006943449999994,-87.6686648655629
23DT000243,1345 W ESTES,"42.0112161,-87.66510716911765",ROGERS PARK,49,42.0112161,-87.66510716911765
22DT003519,7441 N ROGERS,"42.0166471,-87.67343873153679",ROGERS PARK,49,42.0166471,-87.67343873153679
23DS13237M,7418 N PAULINA ST,"42.01652825,-87.6727831995379",ROGERS PARK,49,42.01652825,-87.6727831995379
19DS72434L,6417 N GLENWOOD AVE,"41.9986904,-87.66519154259123",ROGERS PARK,49,41.9986904,-87.66519154259123
