docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records
19DS68300L,STRTSAN,4710 S WESTERN AVE,41.807859,-87.68479703503766,BRIGHTON PARK,15.0,2019-11-13,2
19DS69216L,STRTSAN,1425 W MORSE AVE,42.0074513,-87.6668285,ROGERS PARK,49.0,2019-11-13,1
19DS70010L,STRTSAN,715 E 47TH ST,41.8093383,-87.6080127,GRAND BOULEVARD,4.0,2019-11-13,1
19DS72153L,STRTSAN,300 W WASHINGTON ST,41.8818694,-87.7401431,WEST GARFIELD PARK,28.0,2019-11-12,5
19DS72160L,STRTSAN,6929 N SHERIDAN RD,41.9598134,-87.654693,UPTOWN,46.0,2019-11-14,1
19DS72172L,STRTSAN,2646 W 47TH ST,41.80841619044246,-87.6909019306209,BRIGHTON PARK,15.0,2019-11-13,2
19DS72178L,STRTSAN,2607 W 47TH ST,41.808159450000005,-87.68969175000001,BRIGHTON PARK,15.0,2019-11-13,1
19DS72191L,STRTSAN,1215 W ARTHUR AVE,42.000190450000005,-87.66143323727331,ROGERS PARK,49.0,2019-11-14,1
19DS72200L,STRTSAN,1751 W 17TH ST,41.8584252,-87.67068777559179,LOWER WEST SIDE,25.0,2019-11-13,2
19DS72216L,STRTSAN,1217 W ARTHUR AVE,42.00023185,-87.66159363258794,ROGERS PARK,49.0,2019-11-14,1
19DS72224L,STRTSAN,2605 W 47TH ST,41.80827320712282,-87.68961443158123,BRIGHTON PARK,15.0,2019-11-13,2
19DS72255L,STRTSAN,2509 W 47TH ST,41.807998350000005,-87.68742976581026,BRIGHTON PARK,15.0,2019-11-13,2
19DS72301L,STRTSAN,2559 W 47TH ST,41.80828429996001,-87.68892366933247,BRIGHTON PARK,15.0,2019-11-13,1
19DS72310L,STRTSAN,2547 W 47TH ST,41.80829061653844,-87.68851555653939,BRIGHTON PARK,15.0,2019-11-13,4
19DS72311L,STRTSAN,2502 W 47TH ST,41.808477535422,-87.68706911854203,BRIGHTON PARK,15.0,2019-11-13,2
19DS72319L,STRTSAN,2432 W 47TH ST,41.8085945,-87.68568239999999,BRIGHTON PARK,15.0,2019-11-13,2
19DS72378L,STRTSAN,1401 W PRATT BLVD,42.005369,-87.666029,ROGERS PARK,49.0,2019-11-14,1
19DS72388L,STRTSAN,7800 S EXCHANGE AVE,41.7535527,-87.55458234636242,SOUTH SHORE,7.0,2019-11-15,1
19DS72428L,STRTSAN,2303 W CERMAK RD,41.85197614628703,-87.6833897586327,LOWER WEST SIDE,25.0,2019-11-14,8
19DS72434L,STRTSAN,6417 N GLENWOOD AVE,41.9986904,-87.66519154259123,ROGERS PARK,49.0,2019-11-14,1
19DS72474L,STRTSAN,1335 W MORSE AVE,42.00773245,-87.66542264259454,ROGERS PARK,49.0,2019-11-14,3
19DS72505L,STRTSAN,6419 N GLENWOOD AVE,41.998781,-87.66519423228745,ROGERS PARK,49.0,2019-11-14,1
19DT005697,TRANPORT,3800 S EMERALD ,41.82517205,-87.64510060153162,BRIDGEPORT,11.0,2019-11-13,1
19DT005705,TRANPORT,1751 N HARLEM ,41.91163812244898,-87.80574857142857,AUSTIN,29.0,2019-11-12,1
19DT005779,TRANPORT,1349 W 82ND ST,41.74506200207896,-87.65747683991974,AUBURN GRESHAM,21.0,2019-11-14,2
19DT005780,TRANPORT,1335 W 81ST ST,41.74671569506165,-87.65757998766925,AUBURN GRESHAM,21.0,2019-11-14,1
19DT005783,TRANPORT,3601 E 106TH ST,41.70282,-87.53630508310933,EAST SIDE,10.0,2019-11-15,2
19DT005784,TRANPORT,13727 S BRAINARD ,41.64612198986805,-87.54274293555366,HEGEWISCH,10.0,2019-11-15,1
19DT005833,TRANPORT,5601 W DIVERSEY ,41.9310332,-87.76650447986425,BELMONT CRAGIN,30.0,2019-11-12,1
19DT005843,TRANPORT,1615 N FAIRFIELD ,41.910617,-87.695662,WEST TOWN,1.0,2019-08-08,3
19DT005847,TRANPORT,3555 N CENTRAL ,41.944543530215405,-87.76660013420415,PORTAGE PARK,36.0,2019-11-12,1
19DT005901,TRANPORT,4745 W ARMITAGE ,41.918176,-87.6486288,LINCOLN PARK,43.0,2019-11-15,3
19DT006012,TRANPORT,5953 W NORTH ,41.90917914156408,-87.77476181104726,AUSTIN,29.0,2019-11-12,2
19DT006043,TRANPORT,5129 S HARPER ,41.80146445,-87.5887856629542,HYDE PARK,4.0,2019-11-13,2
19DT006077,TRANPORT,1400 E 53RD ST,41.799881,-87.5916394,HYDE PARK,4.0,2019-11-13,1
20CP00166A,POLICE,5959 W GRAND AVE,41.9202292,-87.77541551679793,BELMONT CRAGIN,36.0,2020-02-13,8
20CP00167A,POLICE,5940 W FULLERTON AVE,41.92406865,-87.7750262566473,BELMONT CRAGIN,30.0,2020-02-13,1
20CP005520,POLICE,2139 W 72ND PL,41.76181925,-87.67742349070922,WEST ENGLEWOOD,17.0,2020-01-24,6
20CP007989,POLICE,6148 S MOODY ,41.78000315,-87.77551645,CLEARING,13.0,2020-02-06,1
20CP008001,POLICE,5112 S NASHVILLE ,41.7991362,-87.78717079386803,GARFIELD RIDGE,14.0,2020-02-06,1
20CP008002,POLICE,5311 S MELVINA ,41.79578135,-87.77676814243932,GARFIELD RIDGE,23.0,2020-02-06,1
20CP008450,POLICE,5311 S MELVINA ,41.79578135,-87.77676814243932,GARFIELD RIDGE,23.0,2020-02-09,1
20CP008508,POLICE,7419 S HARVARD ,41.75933345,-87.63298858042347,GREATER GRAND CROSSING,6.0,2020-02-10,3
20CP012097,POLICE,6111 W DICKENS ,41.91776091169508,-87.78010245583425,BELMONT CRAGIN,29.0,2020-02-28,1
20CP012098,POLICE,6117 W DICKENS ,41.91776052506027,-87.78011126251612,BELMONT CRAGIN,29.0,2020-02-28,1
20CP012099,POLICE,6159 W DICKENS ,41.917938875971615,-87.7795741213247,BELMONT CRAGIN,36.0,2020-02-28,1
20CP012141,POLICE,6704 S WOOD ST,41.771936333333336,-87.66898533333332,WEST ENGLEWOOD,16.0,2020-02-27,1
20DS72557L,STRTSAN,2053 W HOWARD ST,42.0191085,-87.68264395025643,ROGERS PARK,49.0,2019-11-15,1
20DS72598L,STRTSAN,6740 N SHERIDAN RD,41.940036,-87.6395345,LAKE VIEW,44.0,2019-11-13,1
20DS72639L,STRTSAN,830 S MICHIGAN AVE,41.8801026,-87.6243031,LOOP,42.0,2019-11-13,2
20DS72695L,STRTSAN,830 S MICHIGAN AVE,41.8801026,-87.6243031,LOOP,42.0,2019-11-12,2
20DS72765L,STRTSAN,7201 S EVANS AVE,41.763909,-87.606651,GREATER GRAND CROSSING,6.0,2019-11-12,4
20DS72805L,STRTSAN,7464 N CLARK ST,42.0176759,-87.67601776331276,ROGERS PARK,49.0,2019-11-13,1
20DS72942L,STRTSAN,935 W WILLOW ST,41.913703321860005,-87.65105912816487,LINCOLN PARK,43.0,2019-11-15,1
20DS73439L,STRTSAN,2523 W 47TH ST,41.80820945,-87.68783160115149,BRIGHTON PARK,15.0,2019-11-13,2
20DS73674L,STRTSAN,2501 W 47TH ST,41.808313,-87.687047,BRIGHTON PARK,15.0,2019-11-13,6
20DS73871L,STRTSAN,1712 W PRATT BLVD,42.00539654880913,-87.67429953086183,ROGERS PARK,49.0,2019-11-13,2
20DS74442L,STRTSAN,6760 N SHERIDAN RD,41.940036,-87.6395345,LAKE VIEW,44.0,2019-11-13,2
20DS74580L,STRTSAN,2101 W HOWARD ST,42.01919075,-87.68347801146834,ROGERS PARK,49.0,2019-11-15,1
20DS74596L,STRTSAN,4402 S CALIFORNIA AVE,41.813578839366926,-87.69447593683859,BRIGHTON PARK,15.0,2019-11-15,1
20DS74649L,STRTSAN,5422 W WINDSOR AVE,41.9635641,-87.76344778495896,PORTAGE PARK,45.0,2019-12-31,4
20DS75523L,STRTSAN,2042 W 47TH ST,41.80881765,-87.67630327540712,NEW CITY,12.0,2020-01-21,2
20DS75556L,STRTSAN,1724 W 47TH ST,41.808653521240686,-87.66832056709748,NEW CITY,15.0,2020-01-21,1
20DS75558L,STRTSAN,4410 S ASHLAND AVE,41.81377265296897,-87.66521202415434,NEW CITY,15.0,2020-01-21,3
20DS75561L,STRTSAN,1436 W FARGO AVE,42.0173719,-87.66705005342436,ROGERS PARK,49.0,2020-01-21,2
20DS75580L,STRTSAN,4456 S ASHLAND AVE,41.8124799,-87.66545605769683,NEW CITY,15.0,2020-01-21,1
20DS75583L,STRTSAN,4518 S ASHLAND AVE,41.81156925,-87.66544286921518,NEW CITY,15.0,2020-01-21,2
20DS75589L,STRTSAN,2000 W 47TH ST,41.8087474,-87.67544458314194,NEW CITY,12.0,2020-01-21,2
20DS75592L,STRTSAN,2539 W PETERSON AVE,41.990195,-87.69373003911352,WEST RIDGE,40.0,2020-01-21,1
20DS75602L,STRTSAN,1614 W 47TH ST,41.80882115,-87.66587232671927,NEW CITY,15.0,2020-01-21,1
20DS75603L,STRTSAN,5956 W HIGGINS AVE,41.97332345,-87.77785782546152,JEFFERSON PARK,45.0,2020-01-20,1
20DS75628L,STRTSAN,6640 N TALMAN AVE,42.0024921,-87.69641506550926,WEST RIDGE,50.0,2020-01-21,3
20DS75640L,STRTSAN,4443 S ASHLAND AVE,41.8125813,-87.66476075811283,NEW CITY,11.0,2020-01-21,1
20DS75650L,STRTSAN,2307 W 47TH ST,41.80834922547095,-87.6822047333861,NEW CITY,15.0,2020-01-21,4
20DS75688L,STRTSAN,4801 S WESTERN AVE,41.80647406628464,-87.68447756397912,BRIGHTON PARK,14.0,2020-01-21,2
20DS75693L,STRTSAN,1335 W MORSE AVE,42.00773245,-87.66542264259454,ROGERS PARK,49.0,2020-01-21,1
20DS75718L,STRTSAN,2301 W GARFIELD BLVD,41.79326255,-87.68149824492853,GAGE PARK,15.0,2020-01-22,2
