,OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
0,1,14,Albany Park,57655,51542,48396,17161,2.74273061,49280.0,2835.0,9409.0,13150.0,11446.0,7739.0,2833.0,1389.0,479.0,34.26150833,16577.0,22673.0,2520.0,6179.0,1331.0,47974.0,39539.0,28326.0,26431.0,1869.0,11213.0,25804.0,2164.0,23640.0,11714.0,2306.0,7611.0,1805.0,204.0,879625.0,3405.0,7981.0,4147.0,1249.0,33532.0,6455.0,7887.0,3849.0,1871.0,9210.0,4260.0,2651.0,3552.0,2777.0,2512.0,2800.0,2490.0,69397.59036,32298.08478,16782.0,6892.0,9890.0,1448.0,18230.0,3606.0,163.0,3478.0,3992.0,3811.0,1241.0,1939.0,0.0,5.424107143,878.0,1722.0,2818.0,12812.0,1925.57212,3738.0,7721.0,4744.0,1486.0,541.0,486.0,2727.0,2403.0,1175.0,312078.094,9739.0,298.0,3054.0,4222.0,2131.0,34.0,1173.230594,15377.0,1440.0,1405.0,14389.0,13669.0,2393.0,18650,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2496,2168,1938,1711,1546,5389,Health Care,Retail Trade,Manufacturing,Administration,Information,1007,805,787,557,490,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7348,2987,1560,860,550,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2478,550,165,161,124,,,,11783.64945,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.696209209,1229.160488,303.7184257,0.247094199,295.0363269,0.240030761,34.74640572,0.028268404,75.0401636,0.061049932,53.80426335,0.04377318,19.75709275,0.016073648,413.6319022,0.336515781,0.0,0.0,28.10292473,0.022863511,5.322983086,0.004330584,3969.0,4598.0,3402.0,4813.0,10557.0,1895.0,6225.0,1646.0,0.0,189.0,1457.0,4298.0,228.0,826.0,3244.0,2734.0,526.0,1437.0,771.0,7790.0,5416.0,1759.0,615.0,30753.0,18527.0,46445.0,27909.0,14836.0,18536.0,18942.0,1435.0,193.0,1871.0,833.0,654.0,1343.0,2158.0,480.0,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.45750328,0.819019638,0.0,0.0,0.052479098,1.0,1.0,0.538133623
1,2,57,Archer Heights,12644,13393,14196,4163,3.403314917,13533.0,907.0,3088.0,3135.0,2576.0,2020.0,1020.0,420.0,367.0,33.37723214,1991.0,10800.0,104.0,612.0,26.0,13523.0,10476.0,6502.0,5951.0,551.0,3974.0,5798.0,100.0,5698.0,3393.0,813.0,1145.0,302.0,45.0,191250.0,828.0,1417.0,1254.0,633.0,8625.0,2529.0,3602.0,1227.0,360.0,683.0,224.0,1005.0,1103.0,662.0,323.0,709.0,330.0,48793.10345,21399.10522,4132.0,2659.0,1473.0,406.0,4538.0,2229.0,77.0,1101.0,946.0,68.0,100.0,17.0,0.0,5.456822676,87.0,635.0,2593.0,1223.0,1952.784636,403.0,1753.0,1646.0,336.0,400.0,527.0,1983.0,143.0,0.0,205867.3469,1422.0,33.0,831.0,507.0,51.0,0.0,920.3125,3399.0,322.0,733.0,3262.0,3109.0,870.0,4706,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,601,566,496,493,463,9262,Manufacturing,Transportation,Retail Trade,Wholesale Trade,Other Service,3401,2215,802,765,423,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1838,687,354,284,221,Outside of Chicago,West Lawn,Gage Park,South Lawndale,Archer Heights,4926,268,255,250,221,,,,13482.20221,,,,,,,,,,0.0,0.0,1.0,0.156894858,0.03771466,0.805390482,1.504478234,1283.804076,168.2185046,0.13103129,69.15138007,0.053864434,9.781739836,0.00761934,62.10400673,0.048374988,37.96304082,0.029570743,335.6242378,0.261429485,556.7244207,0.433652168,0.0,0.0,15.00514554,0.011688034,29.23159946,0.022769518,1154.0,943.0,538.0,1497.0,2816.0,273.0,1316.0,429.0,6.0,14.0,409.0,1632.0,190.0,523.0,919.0,643.0,242.0,253.0,148.0,1362.0,1040.0,296.0,26.0,8347.0,5186.0,12626.0,10596.0,4747.0,2030.0,9140.0,899.0,472.0,0.0,31.0,0.0,0.0,54.0,0.0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,,,,,,,,0.994886727,0.439368999,0.146898551,0.791876859,0.0,0.0,0.259475735,1.0,1.0,0.407036909
2,3,34,Armour Square,12032,13391,13890,5648,2.446352691,13438.84426,696.557377,1983.934426,2409.639344,2339.245902,2676.745902,1624.590164,985.6639344,722.4672131,46.4571369,1878.122951,751.0737705,1197.540984,9496.106557,116.0,13423.93153,11294.45485,6308.502832,5863.828057,444.6747751,4985.952016,5684.408197,201.4845052,5482.923692,2326.081306,944.2492502,1338.618461,754.8247251,119.14995,156148.2373,2196.363636,2095.522052,933.4410441,241.6885689,10013.56557,3356.057377,2505.991803,906.647541,384.6967213,1683.180328,1176.991803,2227.375178,911.3694722,684.4978602,703.0114123,380.5463623,561.0442225,37122.66529,24901.0311,5467.844508,2114.335544,3352.535809,393.5135521,5860.348806,588.127321,552.2387268,934.9588859,1055.387268,700.198939,238.0,1784.437666,7.0,4.736463122,654.3474801,2587.132626,595.969496,2022.899204,1973.796436,1641.537135,1872.535809,1905.5,255.7758621,185.0,149.21398,871.8402282,768.4079886,322.5035663,309565.1257,3195.621969,1301.0,827.1455064,568.7489301,443.235378,55.49215407,698.4822407,4360.266762,831.9629101,1107.577746,4175.924394,4075.924394,1291.920114,5230,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1125,765,429,401,382,5052,Accommodation and Food Service,Administration,Health Care,Retail Trade,Arts and Entertainment,1830,1011,577,388,309,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1774,894,655,360,265,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1126,732,655,284,227,,,,7679.484439,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,2.521481401,637.4241477,56.31190604,0.088342913,79.16120262,0.124189212,9.78837416,0.01535614,90.11640025,0.141375881,11.24928064,0.01764803,15.6689068,0.024581602,344.4124869,0.540319171,0.0,0.0,15.01918629,0.023562311,15.69640395,0.02462474,2022.087019,1562.606277,844.0756063,1039.075606,3128.489301,337.4065621,2339.355207,1594.120612,156.0,412.0,1026.120612,1384.29523,210.4050405,326.0,847.890189,684.3906391,372.7965797,188.1350135,123.4590459,1555.317732,1122.9964,196.4977498,235.8235824,6284.471843,7154.045651,12742.16328,8608.443852,6180.490836,4133.719427,317.9690103,82.31489503,7592.215262,124.4648451,24.0,114.0,212.104965,137.374875,4.0,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.323963865,0.815346511,0.200206398,0.0,0.094773274,1.0,1.0,0.569835386
3,4,70,Ashburn,39584,41081,41098,12909,3.140367186,42902.0,2641.0,9805.0,8335.0,8329.0,8558.0,3337.0,1221.0,676.0,36.46160558,4320.0,18331.0,19324.0,356.0,571.0,42381.0,33015.0,21425.0,19181.0,2244.0,11590.0,18687.0,801.0,17886.0,12929.0,1955.0,2601.0,90.0,311.0,710420.0,869.0,4116.0,4880.0,3074.0,27466.0,4876.0,8437.0,5983.0,2610.0,3555.0,2005.0,1986.0,2083.0,2721.0,2174.0,2457.0,1518.0,71951.49017,25905.19106,12939.0,10964.0,1975.0,540.0,13479.0,11995.0,203.0,357.0,336.0,323.0,146.0,119.0,0.0,6.509980989,235.0,1704.0,11037.0,503.0,1957.38771,620.0,2142.0,7275.0,2483.0,959.0,2609.0,7707.0,482.0,145.0,184394.2901,1908.0,162.0,520.0,596.0,574.0,56.0,1253.04878,12022.0,998.0,917.0,11432.0,11188.0,1507.0,17024,Health Care,Education,Retail Trade,Accommodation and Food Service,Public Administration,2472,1977,1558,1430,1428,4156,Utilities,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,774,744,721,408,350,Outside of Chicago,The Loop,Near West Side,Near North Side,Ashburn,7307,3754,916,876,224,Outside of Chicago,Ashburn,Chicago Lawn,Auburn Gresham,Gage Park,2352,224,108,107,61,,,,17837.27574,,,,,,,,,,0.0,0.0,1.0,0.0,0.16392177,0.83607823,2.025248363,3109.741438,1267.647868,0.407637707,41.01473766,0.013189115,9.861780469,0.003171254,130.6066948,0.041999214,164.5919488,0.052927857,103.6331544,0.033325328,1073.050424,0.345060979,0.0,0.0,259.8666174,0.083565345,59.46821259,0.019123202,2701.0,3307.0,2319.0,4612.0,9860.0,1239.0,3079.0,1411.0,36.0,45.0,1330.0,2474.0,428.0,513.0,1533.0,2721.0,769.0,957.0,995.0,6139.0,4256.0,1726.0,157.0,35478.0,7424.0,40261.0,15722.0,4786.0,24539.0,13944.0,192.0,82.0,138.0,545.0,0.0,106.0,512.0,203.0,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,,,,,,,,0.8720485,0.587266553,0.297458676,0.776385695,0.144636625,0.0,0.160631162,1.0,1.0,0.29148606
4,5,71,Auburn Gresham,55928,48743,44878,18071,2.476619999,46698.0,2959.0,9561.0,8674.0,8373.0,8805.0,4209.0,3124.0,993.0,38.58927382,488.0,1397.0,44152.0,124.0,537.0,46610.0,36183.0,20150.0,16828.0,3322.0,16033.0,16320.0,1111.0,15209.0,9442.0,1273.0,4155.0,94.0,245.0,629220.0,5189.0,7355.0,3517.0,1192.0,31170.0,4666.0,9758.0,9086.0,2711.0,3282.0,1667.0,6286.0,4159.0,2812.0,1405.0,1837.0,754.0,37484.19389,20664.60043,17253.0,7821.0,9432.0,3364.0,20617.0,9312.0,426.0,3703.0,2756.0,2138.0,843.0,1400.0,39.0,5.972749541,1315.0,2665.0,8773.0,7864.0,1948.110484,3541.0,6100.0,7096.0,2515.0,1365.0,4042.0,3570.0,186.0,7.0,146886.1607,9100.0,1428.0,4270.0,2262.0,1140.0,0.0,905.0454921,14507.0,3126.0,2746.0,12833.0,12226.0,4420.0,15048,Health Care,Administration,Education,Accommodation and Food Service,Retail Trade,3017,1686,1457,1380,1346,2089,Retail Trade,Accommodation and Food Service,Health Care,Education,Finance,580,355,200,195,140,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5199,3185,1326,990,243,Outside of Chicago,Auburn Gresham,Roseland,Greater Grand Crossing,West Englewood,901,191,75,67,51,,,,10588.32037,,,,,,,,,,0.0,0.0,1.0,0.0,0.053931462,0.946068538,1.634956842,2411.968642,798.2360833,0.330947952,318.7035963,0.13213422,22.38282761,0.0092799,94.47130025,0.039167715,109.2757352,0.04530562,56.1041499,0.023260729,834.3288064,0.345911963,0.0,0.0,59.3439954,0.024603966,119.1221472,0.049387934,6254.0,4507.0,2797.0,3695.0,10536.0,2798.0,6717.0,4177.0,141.0,547.0,3489.0,5333.0,805.0,1372.0,3156.0,2785.0,1295.0,906.0,584.0,3974.0,2924.0,951.0,99.0,45362.0,1336.0,43739.0,1445.0,577.0,42294.0,1104.0,23.0,46.0,12.0,45.0,0.0,0.0,154.0,61.0,237,347,54862,45,437,,,,,,,,,,,,,,,,,,,,,,,,,0.950207561,0.87847097,0.245749118,0.70810769,0.027726401,0.0,0.09118119,1.0,1.0,0.406433824
5,6,25,Austin,117527,98514,96557,35864,2.662307607,95073.0,6448.0,18471.0,20020.0,18532.0,17146.0,8406.0,4283.0,1767.0,36.97618685,5024.0,16210.0,71951.0,319.0,1569.0,94034.0,74351.0,43212.0,37426.0,5786.0,31139.0,36595.0,1274.0,35321.0,20861.0,3546.0,9587.0,830.0,497.0,1314235.0,10272.0,12725.0,7243.0,3221.0,63174.0,11415.0,22524.0,14934.0,4791.0,5803.0,3707.0,12476.0,8288.0,4903.0,2424.0,3582.0,1788.0,35555.36685,21384.81546,33461.0,13972.0,19489.0,4994.0,38455.0,9928.0,661.0,11956.0,7122.0,3462.0,1348.0,3790.0,188.0,5.747315066,948.0,4345.0,13602.0,19560.0,1939.150051,7462.0,13183.0,11888.0,3907.0,2015.0,4151.0,7217.0,2101.0,418.0,208765.5017,18802.0,2371.0,7551.0,7383.0,1430.0,67.0,978.327787,27665.0,5427.0,5796.0,25413.0,23589.0,8048.0,34568,Health Care,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,5896,4293,3582,3213,2849,13075,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Administration,2530,2102,1712,1139,1002,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15960,5213,2380,1728,912,Outside of Chicago,Austin,Belmont Cragin,Logan Square,Humboldt Park,6640,912,264,222,214,,,,10201.78239,,,,,,,,,,0.0,0.0,1.0,0.0,0.011620038,0.988379962,0.689628562,4574.247077,955.957202,0.208986788,788.3831264,0.172352545,61.86354401,0.013524312,202.3407844,0.044234774,208.948011,0.045679214,471.5277618,0.103083142,1470.94843,0.321571705,0.0,0.0,199.7012978,0.043657742,214.5769195,0.046909779,11555.0,8760.0,5164.0,7982.0,20421.0,4764.0,13040.0,9211.0,217.0,807.0,8187.0,10152.0,956.0,1822.0,7374.0,4818.0,1564.0,1628.0,1626.0,7689.0,5938.0,1460.0,291.0,88325.0,6748.0,88625.0,13441.0,4971.0,75184.0,11755.0,386.0,0.0,29.0,172.0,67.0,91.0,496.0,445.0,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,,,,,,,,0.997275537,0.925599082,0.226374774,0.71973859,0.0,0.0,0.090170723,1.0,1.0,0.416368356
6,7,45,Avalon Park,11147,10185,9458,4145,2.281544029,9596.682362,597.4142059,1471.209098,1526.216281,1669.770152,1967.844374,831.1548284,1060.131684,472.9417398,45.12512307,80.0,0.0,9090.682362,129.0,297.0,9577.367816,8105.672115,4665.305128,3931.394551,733.9105769,3440.366987,3789.977564,207.2807692,3582.696795,2367.619872,372.6432692,773.5589744,0.0,68.87467949,161575.6571,871.5539516,2045.533742,811.7127391,321.4770841,6938.780527,664.71668,1922.42937,1755.181963,368.4030327,1240.138867,987.9106145,813.2528736,1081.904215,817.5095785,449.7318008,492.4367816,394.8544061,54418.51813,29200.1494,4049.689655,2705.652921,1346.027491,686.3218391,4738.381443,2889.044674,398.2439863,248.0,586.3505155,106.0,80.38487973,430.3573883,0.0,6.354891132,426.3505155,460.0824742,2370.831615,1481.116838,1951.186618,825.0549828,1556.47079,1258.941581,881.1477663,216.766323,736.6590038,1852.409962,105.5095785,10.0,171562.2769,1326.111111,152.0,696.954023,295.1570881,182.0,0.0,931.5121958,3130.823755,459.0,918.8659004,3014.823755,2834.823755,1034.8659,3400,Health Care,Education,Administration,Public Administration,Accommodation and Food Service,654,428,367,299,279,2766,Health Care,Construction,Accommodation and Food Service,Finance,Retail Trade,1912,264,172,115,112,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,977,931,312,182,100,Outside of Chicago,South Shore,Roseland,Austin,Auburn Gresham,998,123,116,114,107,,,,11996.00199,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,2.859074253,800.1087579,303.6806875,0.379549261,27.15838532,0.033943367,2.5777557,0.003221757,44.83356904,0.056034344,44.14236953,0.055170462,12.00895343,0.015009151,313.5653547,0.391903415,0.0,0.0,31.43772209,0.039291811,20.70396064,0.025876433,1727.877395,1119.409962,548.0,654.4022989,2145.812261,367.6666667,1903.877395,631.3150487,0.0,9.0,622.3150487,1201.716709,247.9895345,170.1338867,783.5932876,805.4850235,266.8163118,315.8451822,222.8235294,1328.287622,969.1497654,287.5781306,71.55972573,9483.158013,111.5477564,8995.544551,540.6025641,86.52596154,8454.941987,93.82019231,0.994551282,139.2371795,0.0,0.0,61.66217949,41.77115385,108.6349359,94.48237179,96,85,10816,19,131,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.37402721,0.781848032,0.0,0.0,0.128206624,1.0,1.0,0.357121643
7,8,21,Avondale,43083,39262,36257,14578,2.476951571,37360.0,2078.0,5967.0,12134.0,8646.0,5167.0,2251.0,779.0,338.0,33.56555024,13301.0,20145.0,806.0,1670.0,1438.0,37270.0,30862.0,23140.0,21987.0,1153.0,7722.0,21809.0,2203.0,19606.0,10378.0,1827.0,6038.0,990.0,373.0,692320.0,2408.0,6427.0,3894.0,1006.0,26751.0,4192.0,6191.0,3797.0,1669.0,6860.0,4042.0,2229.0,2392.0,2367.0,1822.0,2205.0,2720.0,73616.00306,35759.78129,13735.0,5831.0,7904.0,1606.0,15341.0,2558.0,430.0,4385.0,4704.0,1972.0,502.0,774.0,16.0,5.532554424,1469.0,1389.0,2603.0,9880.0,1928.81832,2391.0,7178.0,4376.0,975.0,421.0,309.0,1659.0,2335.0,1459.0,364935.9886,7798.0,139.0,1726.0,3648.0,2042.0,243.0,1205.620704,12877.0,861.0,858.0,12287.0,11791.0,1448.0,15948,Accommodation and Food Service,Professional,Health Care,Retail Trade,Manufacturing,1840,1779,1743,1465,1233,8699,Manufacturing,Retail Trade,Utilities,Accommodation and Food Service,Construction,1638,1393,985,840,664,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5478,2844,1472,1140,588,Outside of Chicago,Avondale,Belmont Cragin,Logan Square,Irving Park,4050,403,342,326,238,,,,12853.07505,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.836002658,1269.297425,161.8543399,0.127514904,312.402393,0.246122293,34.8732884,0.027474481,103.1929549,0.081299271,31.75516064,0.025017904,126.5534966,0.099703579,477.1936236,0.37595099,0.0,0.0,8.819097569,0.006948015,12.65307014,0.009968562,3408.0,4847.0,2730.0,2750.0,7940.0,988.0,5795.0,1185.0,0.0,39.0,1146.0,2982.0,144.0,571.0,2267.0,2356.0,498.0,1010.0,848.0,6747.0,4617.0,1662.0,468.0,26989.0,10371.0,35282.0,18916.0,7104.0,16366.0,15874.0,1322.0,44.0,533.0,131.0,132.0,223.0,623.0,34.0,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.469926358,0.847689521,0.017054315,0.0,0.069558815,1.0,1.0,0.507038379
8,9,19,Belmont Cragin,78144,78743,78116,23450,3.322004264,78788.0,5115.0,17888.0,16101.0,17525.0,13636.0,5220.0,2628.0,675.0,35.22748666,11272.0,62943.0,1926.0,1734.0,913.0,78458.0,60994.0,40277.0,38208.0,2069.0,20717.0,37288.0,1226.0,36062.0,24346.0,4771.0,5334.0,999.0,612.0,1452060.0,3256.0,7959.0,7429.0,4079.0,50523.0,15968.0,15450.0,8907.0,3089.0,4757.0,2352.0,4639.0,5208.0,4210.0,3395.0,3232.0,2039.0,58138.0978,21611.65496,22723.0,12107.0,10616.0,1804.0,24527.0,10160.0,430.0,6166.0,4853.0,1851.0,458.0,575.0,34.0,5.733051455,1073.0,2321.0,7534.0,13599.0,1935.089712,3859.0,9124.0,7169.0,2570.0,1805.0,1349.0,7443.0,3116.0,191.0,256190.0958,10301.0,332.0,4091.0,4655.0,1194.0,29.0,1064.839572,20018.0,2915.0,2705.0,18347.0,17427.0,4376.0,27559,Manufacturing,Health Care,Accommodation and Food Service,Retail Trade,Administration,3781,3445,3214,3159,2616,7717,Retail Trade,Accommodation and Food Service,Manufacturing,Administration,Health Care,2615,981,678,612,587,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,13332,2938,1595,1003,814,Outside of Chicago,Belmont Cragin,Austin,Portage Park,Logan Square,3720,814,248,223,170,,,,13727.45007,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.888154336,2504.577927,710.7003132,0.283760511,386.0368973,0.154132516,48.56702876,0.019391303,239.4101097,0.095589004,148.7027405,0.059372375,111.7826842,0.044631346,775.6569475,0.309695673,0.0,0.0,64.77975078,0.025864538,18.94145473,0.007562733,4557.0,5148.0,3665.0,9353.0,17005.0,2826.0,5718.0,2942.0,0.0,112.0,2830.0,6429.0,413.0,1245.0,4771.0,4129.0,1327.0,1260.0,1542.0,8647.0,5767.0,2131.0,749.0,48325.0,30463.0,73673.0,60014.0,26403.0,13659.0,53508.0,3720.0,25.0,1390.0,497.0,0.0,174.0,639.0,61.0,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.201848663,0.783335449,0.0,0.0,0.080030112,1.0,1.0,0.330669384
9,10,72,Beverly,21992,20034,20027,7691,2.597581589,19817.0,1267.0,3576.0,2888.0,3562.0,5022.0,2191.0,976.0,335.0,44.04398955,11126.0,1179.0,6562.0,194.0,756.0,19790.0,15712.0,10411.0,9792.0,619.0,5301.0,9662.0,686.0,8976.0,6254.0,437.0,1908.0,233.0,144.0,292725.0,272.0,2691.0,3305.0,1122.0,13958.0,342.0,1909.0,2465.0,1257.0,4298.0,3687.0,595.0,828.0,909.0,1032.0,1497.0,2529.0,110018.1598,55810.52955,7390.0,6232.0,1158.0,477.0,7867.0,6155.0,137.0,415.0,238.0,558.0,211.0,153.0,0.0,7.388352638,173.0,538.0,3540.0,3616.0,1942.360595,777.0,1121.0,3139.0,1894.0,936.0,329.0,2213.0,2814.0,827.0,330159.1658,1125.0,12.0,645.0,289.0,89.0,90.0,936.5771812,7193.0,180.0,197.0,7001.0,6888.0,389.0,10094,Education,Health Care,Public Administration,Professional,Accommodation and Food Service,1818,1352,1262,767,632,4004,Transportation,Professional,Accommodation and Food Service,Retail Trade,Health Care,758,716,477,405,361,Outside of Chicago,The Loop,Near West Side,Near North Side,Beverly,3718,3230,558,500,326,Outside of Chicago,Beverly,Auburn Gresham,Morgan Park,Roseland,2069,326,103,98,87,,,,14379.79173,,,,,,,,,,0.0,0.0,1.0,0.0,0.033229102,0.966770898,2.00313859,2038.093742,1044.08874,0.512286907,60.30855433,0.029590668,9.671452203,0.004745342,65.45139495,0.032114026,42.68778539,0.020944957,0.0,0.0,548.8853909,0.269313123,0.0,0.0,257.6114278,0.126398223,9.388996294,0.004606754,1920.0,2619.0,1172.0,1679.0,5148.0,205.0,2242.0,364.0,0.0,0.0,364.0,931.0,86.0,257.0,588.0,909.0,339.0,318.0,252.0,5031.0,3641.0,990.0,400.0,19082.0,735.0,18550.0,1366.0,114.0,17184.0,676.0,31.0,97.0,18.0,51.0,26.0,28.0,395.0,44.0,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,,,,,,,,0.96185567,0.987568157,0.662129245,0.820519526,0.0,0.0,0.122599567,1.0,1.0,0.337818257
