SR_NUMBER,SR_SHORT_CODE,CREATED_DATE,STREET_ADDRESS,COMMUNITY_AREA,WARD,STATUS,ORIGIN,LATITUDE,LONGITUDE,SR_TYPE,CLOSED_DATE,year,month,date,season,GEOID,COMMUNITY_NAME
SR24-00088099,SWSNOREM,2024-01-15 09:54:58,3161 N LINCOLN AVE,6,32,Open,Mobile Device,41.939343001,-87.667812,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,6,Lake View
SR24-00080328,SWSNOREM,2024-01-13 11:18:57,815 W ADDISON ST,6,44,Open,Mobile Device,41.947137001,-87.6502305,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,6,Lake View
SR23-02071156,SWSNOREM,2023-11-30 07:40:57,3258 N SOUTHPORT AVE,6,44,Completed,Internet,41.941476001,-87.664104,Snow – Uncleared Sidewalk Complaint,2023-12-01 10:51:14,2023,11,2023-11-30,2023-2024,6,Lake View
SR24-00081436,SWSNOREM,2024-01-13 14:39:57,3356 N MARSHFIELD AVE,6,32,Open,Internet,41.943141001,-87.670206,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,6,Lake View
SR23-01897633,SWSNOREM,2023-11-01 13:23:12,3469 N BROADWAY ST,6,44,Completed,Internet,41.944849004,-87.64574532,Snow – Uncleared Sidewalk Complaint,2023-11-06 07:35:34,2023,11,2023-11-01,2023-2024,6,Lake View
SR24-00074882,SWSNOREM,2024-01-12 12:01:12,4026 N PAULINA ST,6,47,Open,Internet,41.955138001,-87.6710025,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,6,Lake View
SR24-00078016,SWSNOREM,2024-01-12 18:34:04,3244 N LINCOLN AVE,6,32,Open,Mobile Device,41.940873001,-87.6697515,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,6,Lake View
SR24-00081799,SWSNOREM,2024-01-13 16:05:19,448 W BARRY AVE,6,44,Open,Internet,41.937993001,-87.641406,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,6,Lake View
SR24-00082000,SWSNOREM,2024-01-13 17:05:08,540 W BRIAR PL,6,44,Open,Phone Call,41.938992001,-87.643512,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,6,Lake View
SR24-00079930,SWSNOREM,2024-01-13 10:02:41,4401 N CLARK ST,6,46,Open,Phone Call,41.961642493,-87.665959332,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,6,Lake View
SR24-00081428,SWSNOREM,2024-01-13 14:38:18,3356 N MARSHFIELD AVE,6,32,Open,Internet,41.943141001,-87.670206,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,6,Lake View
SR24-00088247,SWSNOREM,2024-01-15 10:12:18,5549 W IRVING PARK RD,15,30,Open,Internet,41.953125959,-87.766530726,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,15,Portage Park
SR23-01903733,SWSNOREM,2023-11-02 11:59:47,5237 W WARWICK AVE,15,30,Completed,Mobile Device,41.948523001,-87.758406,Snow – Uncleared Sidewalk Complaint,2023-11-06 06:58:26,2023,11,2023-11-02,2023-2024,15,Portage Park
SR24-00076060,SWSNOREM,2024-01-12 13:51:42,4831 W BELLE PLAINE AVE,15,45,Open,Phone Call,41.955120001,-87.7487445,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,15,Portage Park
SR24-00088956,SWSNOREM,2024-01-15 12:18:00,5353 W EDDY ST,15,30,Open,Internet,41.944962968,-87.761497366,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,15,Portage Park
SR24-00090553,SWSNOREM,2024-01-15 17:22:26,4341 N MASON AVE,15,38,Open,Mobile Device,41.959782001,-87.775497,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,15,Portage Park
SR24-00090562,SWSNOREM,2024-01-15 17:24:32,4335 N MASON AVE,15,38,Open,Mobile Device,41.959611001,-87.775524,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-15,2023-2024,15,Portage Park
SR24-00057131,SWSNOREM,2024-01-10 08:27:24,5756 W WINDSOR AVE,15,38,Completed,Mobile Device,41.963445001,-87.7720275,Snow – Uncleared Sidewalk Complaint,2024-01-11 12:58:38,2024,1,2024-01-10,2023-2024,15,Portage Park
SR24-00081892,SWSNOREM,2024-01-13 16:34:03,4240 N PARKSIDE AVE,15,38,Open,Mobile Device,41.958054001,-87.768675,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,15,Portage Park
SR24-00082449,SWSNOREM,2024-01-13 20:09:08,5201 W EDDY ST,15,31,Open,Mobile Device,41.944905001,-87.7570605,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,15,Portage Park
SR24-00078179,SWSNOREM,2024-01-12 19:21:49,5301 N BROADWAY,77,48,Open,Internet,41.978322001,-87.6595185,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,77,Edgewater
SR24-00078167,SWSNOREM,2024-01-12 19:18:33,5243 N BROADWAY,77,48,Open,Mobile Device,41.977944001,-87.6590055,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-12,2023-2024,77,Edgewater
SR24-00081636,SWSNOREM,2024-01-13 15:25:09,1515 W ROSEMONT AVE,77,48,Open,Internet,41.996205001,-87.668433,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,77,Edgewater
SR24-00081999,SWSNOREM,2024-01-13 17:04:08,5557 N WAYNE AVE,77,48,Open,Mobile Device,41.983434001,-87.6634515,Snow – Uncleared Sidewalk Complaint,,2024,1,2024-01-13,2023-2024,77,Edgewater
