Docket Number,Violation Date,Violation Address,City,State,Issuing Department Code,Imposed Fine Detailed,result_num,osm_id,display_name,category,type,latlong,community,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len
19DS42359L,2019-01-29,3100 S GILES AVE,Chicago,IL,STRTSAN,$150.00,"0","24104360","3100, South Giles Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.83827,-87.619589",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
19DS42567L,2019-01-29,223 E 31ST ST,Chicago,IL,STRTSAN,$150.00,"0","210533193","223, East 31st Street, Douglas, Chicago, Cook County, Illinois, 60616, United States",building,yes,"41.83819175,-87.6208032246057",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
19DS42579L,2019-01-29,235 E 31ST ST,Chicago,IL,STRTSAN,$150.00,"0","229737913","235, East 31st Street, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.838294384844325,-87.62087329716113",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
19DT000572,2019-01-29,3405 S INDIANA ,Chicago,IL,TRANPORT,$500.00,"0","210534451","3405, South Indiana Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",building,yes,"41.832664699999995,-87.6214894853602",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
20DT000917,2020-02-14,3100 S INDIANA ,Chicago,IL,TRANPORT,$0.00,"0","1173851406","3100, South Indiana Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.838241,-87.622033",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
20DT000917,2020-02-14,3100 S INDIANA ,Chicago,IL,TRANPORT,$150.00,"0","1173851406","3100, South Indiana Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.838241,-87.622033",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
20DT000917,2020-02-14,3100 S INDIANA ,Chicago,IL,TRANPORT,$500.00,"0","1173851406","3100, South Indiana Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.838241,-87.622033",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT000478,2021-01-28,3317 S PRAIRIE ,Chicago,IL,TRANPORT,$110.00,"0","24111172","3317, South Prairie Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.834323092878925,-87.62050356526285",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT000493,2021-01-29,3658 S PRAIRIE ,Chicago,IL,TRANPORT,$500.00,"0","24111172","3658, South Prairie Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60653, United States",place,house,"41.828145583678925,-87.62059581323",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT000497,2021-02-02,124 E 37TH ST,Chicago,IL,TRANPORT,$150.00,"0","24117429","124, East 37th Street, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60653, United States",place,house,"41.82747979571899,-87.62289776081194",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
