,Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed,year,month,date,season,City,State,Cleaned Address,Corrected
0,19DS68300L,2019-11-13,4710 S WESTERN AVE,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,4710 S WESTERN AVE,
1,19DS69216L,2019-11-13,1425 W MORSE AVE,STRTSAN,50.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,1425 W MORSE AVE,
2,19DS70010L,2019-11-13,715 E 47TH ST,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,715 E 47TH ST,
3,19DS72153L,2019-11-12,300 W WASHINGTON ST,STRTSAN,0.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,300 W WASHINGTON ST,
4,19DS72153L,2019-11-12,300 W WASHINGTON ST,STRTSAN,150.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,300 W WASHINGTON ST,
5,19DS72153L,2019-11-12,300 W WASHINGTON ST,STRTSAN,500.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,300 W WASHINGTON ST,
6,19DS72160L,2019-11-14,6929 N SHERIDAN RD,STRTSAN,500.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,6929 N SHERIDAN RD,
7,19DS72172L,2019-11-13,2646 W 47TH ST,STRTSAN,50.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2646 W 47TH ST,
8,19DS72178L,2019-11-13,2607 W 47TH ST,STRTSAN,500.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2607 W 47TH ST,
9,19DS72191L,2019-11-14,1215 W ARTHUR AVE,STRTSAN,50.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,1215 W ARTHUR AVE,
10,19DS72200L,2019-11-13,1751 W 17TH ST,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,1751 W 17TH ST,
11,19DS72216L,2019-11-14,1217 W ARTHUR AVE,STRTSAN,150.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,1217 W ARTHUR AVE,
12,19DS72224L,2019-11-13,2605 W 47TH ST,STRTSAN,500.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2605 W 47TH ST,
13,19DS72224L,2019-11-13,2605 W 47TH ST,STRTSAN,600.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2605 W 47TH ST,
14,19DS72255L,2019-11-13,2509 W 47TH ST,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2509 W 47TH ST,
15,19DS72301L,2019-11-13,2559 W 47TH ST,STRTSAN,500.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2559 W 47TH ST,
16,19DS72310L,2019-11-13,2547 W 47TH ST,STRTSAN,0.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2547 W 47TH ST,
17,19DS72310L,2019-11-13,2547 W 47TH ST,STRTSAN,300.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2547 W 47TH ST,
18,19DS72311L,2019-11-13,2502 W 47TH ST,STRTSAN,300.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2502 W 47TH ST,
19,19DS72311L,2019-11-13,2502 W 47TH ST,STRTSAN,600.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2502 W 47TH ST,
20,19DS72319L,2019-11-13,2432 W 47TH ST,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2432 W 47TH ST,
21,19DS72319L,2019-11-13,2432 W 47TH ST,STRTSAN,300.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2432 W 47TH ST,
22,19DS72378L,2019-11-14,1401 W PRATT BLVD,STRTSAN,150.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,1401 W PRATT BLVD,
23,19DS72388L,2019-11-15,7800 S EXCHANGE AVE,STRTSAN,150.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,7800 S EXCHANGE AVE,
24,19DS72428L,2019-11-14,2303 W CERMAK RD,STRTSAN,0.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,2303 W CERMAK RD,
25,19DS72428L,2019-11-14,2303 W CERMAK RD,STRTSAN,100.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,2303 W CERMAK RD,
26,19DS72434L,2019-11-14,6417 N GLENWOOD AVE,STRTSAN,0.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,6417 N GLENWOOD AVE,
27,19DS72474L,2019-11-14,1335 W MORSE AVE,STRTSAN,150.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,1335 W MORSE AVE,
28,19DS72505L,2019-11-14,6419 N GLENWOOD AVE,STRTSAN,150.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,6419 N GLENWOOD AVE,
29,19DT005697,2019-11-13,3800 S EMERALD,TRANPORT,0.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,3800 S EMERALD,
30,19DT005705,2019-11-12,1751 N HARLEM,TRANPORT,0.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,1751 N HARLEM,
31,19DT005779,2019-11-14,1349 W 82ND ST,TRANPORT,0.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,1349 W 82ND ST,
32,19DT005779,2019-11-14,1349 W 82ND ST,TRANPORT,150.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,1349 W 82ND ST,
33,19DT005780,2019-11-14,1335 W 81ST ST,TRANPORT,500.0,2019,11,2019-11-14,2019-2020,Chicago,Illinois,1335 W 81ST ST,
34,19DT005783,2019-11-15,3601 E 106TH ST,TRANPORT,140.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,3601 E 106TH ST,
35,19DT005783,2019-11-15,3601 E 106TH ST,TRANPORT,150.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,3601 E 106TH ST,
36,19DT005784,2019-11-15,13727 S BRAINARD,TRANPORT,150.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,13727 S BRAINARD,
37,19DT005833,2019-11-12,5601 W DIVERSEY,TRANPORT,150.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,5601 W DIVERSEY,
