Docket Number,Violation Date,Violation Address,City,State,Issuing Department Code,Imposed Fine Detailed
19CP010534,2001-01-01,6011 W GRAND ,Chicago,IL,POLICE,$0.00
19DT000348,2001-01-01,93  MCCUTCHEON TE ,Chicago,IL,TRANPORT,$500.00
19DT000473,2001-01-01,9232 S ASHLAND ,Chicago,IL,TRANPORT,$150.00
19DT000710,2001-01-01,4307 S CALUMET ,Chicago,IL,TRANPORT,$110.00
20DT000508,2001-01-01,4050 S WENTWORTH ,Chicago,IL,TRANPORT,$150.00
21DT000391,2001-01-01,5459 S SAWYER ,Chicago,IL,TRANPORT,$0.00
21DT000391,2001-01-01,5459 S SAWYER ,Chicago,IL,TRANPORT,$500.00
21DT000673,2001-01-01,3226 N CICERO ,Chicago,IL,TRANPORT,$150.00
21DT000679,2001-01-01,3401 W ARMITAGE ,Chicago,IL,TRANPORT,$0.00
21DT001581,2001-01-01,1900 W CORTLAND ST,Chicago,IL,TRANPORT,$0.00
22DT000955,2001-01-01,2528 N CALIFORNIA ,Chicago,IL,TRANPORT,$150.00
22DT000955,2001-01-01,2528 N CALIFORNIA ,Chicago,IL,TRANPORT,$500.00
22DT001203,2001-01-01,2551 W CERMAK RD,Chicago,IL,TRANPORT,$150.00
22DT001386,2001-01-01,440 N ABERDEEN ,Chicago,IL,TRANPORT,$150.00
23DT000597,2001-01-01,3258 N SOUTHPORT ,Chicago,IL,TRANPORT,$500.00
21DT000487,2012-01-29,1 E HURON ST,Chicago,IL,TRANPORT,$500.00
18DS11011L,2018-01-05,741 W 123RD ST,Chicago,IL,STRTSAN,$0.00
18DS16572L,2018-02-08,5033 S CICERO AVE,Chicago,IL,STRTSAN,$50.00
18DS23469L,2018-02-13,4100 W MADISON ST,Chicago,IL,STRTSAN,$50.00
19DS38761L,2018-11-26,4909 W MADISON ST,Chicago,IL,STRTSAN,$0.00
19DS38761L,2018-11-26,4909 W MADISON ST,Chicago,IL,STRTSAN,$50.00
19DS38761L,2018-11-26,4909 W MADISON ST,Chicago,IL,STRTSAN,$300.00
19DS38826L,2018-11-26,5000 W QUINCY ST,Chicago,IL,STRTSAN,$150.00
18CP093079,2018-11-27,5045 N TRIPP ,Chicago,IL,POLICE,$0.00
18DT002613,2018-11-27,3555 N CENTRAL ,Chicago,IL,TRANPORT,$110.00
18DT002615,2018-11-27,4010 W FULLERTON ,Chicago,IL,TRANPORT,$150.00
19DS29173L,2018-11-27,2655 W 47TH ST,Chicago,IL,STRTSAN,$0.00
19DS29173L,2018-11-27,2655 W 47TH ST,Chicago,IL,STRTSAN,$150.00
19DS29173L,2018-11-27,2655 W 47TH ST,Chicago,IL,STRTSAN,$500.00
19DS38726L,2018-11-27,2559 W 47TH ST,Chicago,IL,STRTSAN,$500.00
19DS38888L,2018-11-27,4756 S ROCKWELL ST,Chicago,IL,STRTSAN,$150.00
19DS38904L,2018-11-27,4759 S ROCKWELL ST,Chicago,IL,STRTSAN,$150.00
19DS38929L,2018-11-27,7310 N ROGERS AVE,Chicago,IL,STRTSAN,$0.00
18DT002539,2018-11-28,951 W MARGATE TER ,Chicago,IL,TRANPORT,$0.00
18DT002540,2018-11-28,93  MCCTCHEN TER ,Chicago,IL,TRANPORT,$0.00
18DT002600,2018-11-28,300 W WASHINGTON ST,Chicago,IL,TRANPORT,$150.00
18DT002614,2018-11-28,3522 W DIVERSEY ,Chicago,IL,TRANPORT,$110.00
18DT002614,2018-11-28,3522 W DIVERSEY ,Chicago,IL,TRANPORT,$150.00
18DT002655,2018-11-28,3200 W WASHINGTON ,Chicago,IL,TRANPORT,$110.00
18DT002655,2018-11-28,3200 W WASHINGTON ,Chicago,IL,TRANPORT,$150.00
19DS37903L,2018-11-28,4051 W 47TH ST,Chicago,IL,STRTSAN,$50.00
19DS37903L,2018-11-28,4051 W 47TH ST,Chicago,IL,STRTSAN,$500.00
19DS38789L,2018-11-28,4220 W 47TH ST,Chicago,IL,STRTSAN,$500.00
19DS38811L,2018-11-28,7310 N ROGERS AVE,Chicago,IL,STRTSAN,$50.00
19DS38811L,2018-11-28,7310 N ROGERS AVE,Chicago,IL,STRTSAN,$500.00
19DS39286L,2018-11-28,3165 N MILWAUKEE AVE,Chicago,IL,STRTSAN,$150.00
19DS39340L,2018-11-28,4047 W 47TH ST,Chicago,IL,STRTSAN,$150.00
19DS39640L,2018-11-28,4059 W 47TH ST,Chicago,IL,STRTSAN,$0.00
19DS39640L,2018-11-28,4059 W 47TH ST,Chicago,IL,STRTSAN,$150.00
19DS39680L,2018-11-28,4455 S PULASKI RD,Chicago,IL,STRTSAN,$500.00
19DS39803L,2018-11-28,4138 W 47TH ST,Chicago,IL,STRTSAN,$50.00
19DS39822L,2018-11-28,4137 W 47TH ST,Chicago,IL,STRTSAN,$150.00
19DS39870L,2018-11-28,3424 N SOUTHPORT AVE,Chicago,IL,STRTSAN,$150.00
19DT000127,2018-11-28,375 N MORGAN ST,Chicago,IL,TRANPORT,$500.00
18DT002534,2018-11-29,2403 N ORCHARD ST,Chicago,IL,TRANPORT,$0.00
18DT002534,2018-11-29,2403 N ORCHARD ST,Chicago,IL,TRANPORT,$100.00
18DT002534,2018-11-29,2403 N ORCHARD ST,Chicago,IL,TRANPORT,$500.00
18DT002535,2018-11-29,644 W SCHUBERT ,Chicago,IL,TRANPORT,$110.00
18DT002541,2018-11-29,448 W BARRY ,Chicago,IL,TRANPORT,$0.00
18DT002541,2018-11-29,448 W BARRY ,Chicago,IL,TRANPORT,$110.00
18DT002541,2018-11-29,448 W BARRY ,Chicago,IL,TRANPORT,$150.00
18DT002541,2018-11-29,448 W BARRY ,Chicago,IL,TRANPORT,$350.00
18DT002645,2018-11-29,4700 W MONTROSE ,Chicago,IL,TRANPORT,$110.00
18DT002646,2018-11-29,3049 W FULLERTON ,Chicago,IL,TRANPORT,$110.00
18DT002646,2018-11-29,3049 W FULLERTON ,Chicago,IL,TRANPORT,$150.00
19DS28555L,2018-11-29,4544 N LAPORTE AVE,Chicago,IL,STRTSAN,$50.00
19DS34417L,2018-11-29,618 E 43RD ST,Chicago,IL,STRTSAN,$0.00
19DS34693L,2018-11-29,610 E 43RD ST,Chicago,IL,STRTSAN,$150.00
19DS37025L,2018-11-29,6211 N LINCOLN AVE,Chicago,IL,STRTSAN,$150.00
19DS39486L,2018-11-29,6401 W ARCHER AVE,Chicago,IL,STRTSAN,$150.00
19DS39577L,2018-11-29,543 E 43RD ST,Chicago,IL,STRTSAN,$500.00
19DS39929L,2018-11-29,501 E 43RD ST,Chicago,IL,STRTSAN,$500.00
19DS40019L,2018-11-29,600 E 43RD ST,Chicago,IL,STRTSAN,$500.00
19DS40687L,2018-11-29,645 E 43RD ST,Chicago,IL,STRTSAN,$0.00
19DS40687L,2018-11-29,645 E 43RD ST,Chicago,IL,STRTSAN,$100.00
19DS40868L,2018-11-29,6211 N LINCOLN AVE,Chicago,IL,STRTSAN,$150.00
18DT002526,2018-11-30,3401 W DIVERSEY ,Chicago,IL,TRANPORT,$110.00
18DT002526,2018-11-30,3401 W DIVERSEY ,Chicago,IL,TRANPORT,$150.00
18DT002527,2018-11-30,4225 W ARMITAGE ,Chicago,IL,TRANPORT,$110.00
18DT002527,2018-11-30,4225 W ARMITAGE ,Chicago,IL,TRANPORT,$150.00
18DT002529,2018-11-30,3057 N CICERO ,Chicago,IL,TRANPORT,$110.00
18DT002529,2018-11-30,3057 N CICERO ,Chicago,IL,TRANPORT,$150.00
18DT002533,2018-11-30,101 N JEFFERSON ST,Chicago,IL,TRANPORT,$500.00
18DT002543,2018-11-30,6677 N OLIPHANT ,Chicago,IL,TRANPORT,$500.00
19DS40298L,2018-11-30,831 E OAKWOOD BLVD,Chicago,IL,STRTSAN,$500.00
19DS40298L,2018-11-30,831 E OAKWOOD BLVD,Chicago,IL,STRTSAN,$600.00
19DT000604,2019-01-02,5300 S LARAMIE ,Chicago,IL,TRANPORT,$500.00
19DS28315L,2019-01-03,1746 N BISSELL ST,Chicago,IL,STRTSAN,$0.00
19DS28315L,2019-01-03,1746 N BISSELL ST,Chicago,IL,STRTSAN,$500.00
19CP004491,2019-01-06,1800 S LAKE SHORE DR ,Chicago,IL,POLICE,$0.00
19DS40866L,2019-01-14,3222 W WASHINGTON BLVD,Chicago,IL,STRTSAN,$500.00
19DS41255L,2019-01-14,3206 W WASHINGTON BLVD,Chicago,IL,STRTSAN,$150.00
19DT000168,2019-01-14,1606 W MADISON ST,Chicago,IL,TRANPORT,$150.00
19DT000168,2019-01-14,1606 W MADISON ST,Chicago,IL,TRANPORT,$500.00
19DT000169,2019-01-14,2 S HALSTED ST,Chicago,IL,TRANPORT,$110.00
19DT000170,2019-01-14,1005 W HURON ST,Chicago,IL,TRANPORT,$100.00
19DT000170,2019-01-14,1005 W HURON ST,Chicago,IL,TRANPORT,$500.00
19DT000171,2019-01-14,707 N CARPENTER ST,Chicago,IL,TRANPORT,$0.00
19DT000171,2019-01-14,707 N CARPENTER ST,Chicago,IL,TRANPORT,$500.00
19DT000347,2019-01-14,951 W MARGATE ,Chicago,IL,TRANPORT,$500.00
19DT000531,2019-01-14,71 E 43RD ST,Chicago,IL,TRANPORT,$150.00
19CP004837,2019-01-15,1249 W 63RD ST,Chicago,IL,POLICE,$0.00
19CP004838,2019-01-15,7015 S THROOP ST,Chicago,IL,POLICE,$0.00
19DS29347L,2019-01-15,5441 S KEDZIE AVE,Chicago,IL,STRTSAN,$500.00
19DS31163L,2019-01-15,5333 S ARCHER AVE,Chicago,IL,STRTSAN,$150.00
19DS34579L,2019-01-15,4710 S WESTERN AVE,Chicago,IL,STRTSAN,$0.00
