inspector,violation_code,violation_date,docket,disposition,citation_address,citation_ward
Donte Winston,10-8-180,2023-01-30,,,"6751 S CAMPBELL AVE, Chicago, IL 60629",17
Shawn Bradley,10-8-180,2022-02-10,,,"6215 W DIVERSEY AVE, Chicago, IL 60639",30
Donte Winston,10-8-180,2022-02-09,,,"5716 S GREEN ST, Chicago, IL 60621",16
Donte Winston,10-8-180; 7-28-710,2022-02-08,,,"2023 W 63RD ST, Chicago, IL 60636",16
Francisco Arroyo,10-8-180,2022-02-08,,,"5900 S MARSHFIELD AVE, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-08,,,"1651 W 59TH ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-08,,,"1753 W 59TH ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-08,,,"1813 - 15W 59TH ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-08,,,"1815 W 59TH ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-08,,,"1820 W 59TH ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-08,,,"1825 W 59TH ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-05,,,"1834 W 63RD ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-05,,,"1645 W 63RD ST, Chicago, IL 60636",15
Francisco Arroyo,10-8-180,2022-02-05,,,"1645 W 63RD ST, Chicago, IL 60636",15
Donte Winston,10-8-180,2022-02-05,,,"5402 S JUSTINE ST, Chicago, IL 60609",16
Donte Winston,10-8-180,2022-02-05,,,"5420 S JUSTINE ST, Chicago, IL 60609",16
Donte Winston,10-8-180,2022-02-05,,,"5738 S SANGAMON ST, Chicago, IL 60621",16
Donte Winston,10-8-180,2022-02-05,,,"5838 S PEORIA ST, Chicago, IL 60621",16
Rocco Markese,10-8-180,2022-01-27,,,"2200 W 43RD ST, Chicago, IL 60609",12
Adam Corona,10-8-180,2022-01-06,,,"2201 W CERMAK RD, Chicago, IL 60608",25
Nathan Wilson,10-8-180,2022-01-05,,,"143 W 71ST ST, Chicago, IL 60621",6
Nathan Wilson,10-8-180,2022-01-05,,,"7003 S HALSTED ST, Chicago, IL 60621",6
MAC ZURAWSKI,10-8-180,2021-10-08,,,"6018 S ABERDEEN ST, Chicago, IL 60621",16
Reginald Garrett,10-8-180; 7-28-450(a); 7-28-750(a); 7-28-750(b),2021-02-25,,,"4218 S CHAMPLAIN AVE, Chicago, IL 60653",4
Reginald Garrett,10-8-180,2021-02-25,,,"4324 S LANGLEY AVE, Chicago, IL 60653",4
Reginald Garrett,10-8-180,2021-02-25,,,"4338 S LANGLEY AVE, Chicago, IL 60653",4
Reginald Garrett,10-8-180,2021-02-23,,,"619 E BOWEN AVE, Chicago, IL 60653",4
Francisco Arroyo,10-8-180,2021-02-12,,,"4420 - 4424S ASHLAND AVE, Chicago, IL 60609",15
Marcello Siggers,10-8-180,2020-01-22,,,"7901 S KINGSTON AVE, CHICAGO, IL 60617",7
Francisco Arroyo,10-8-180,2020-01-22,,,"2251 W GARFIELD BLVD, CHICAGO, IL 60636",15
Francisco Arroyo,10-8-180,2020-01-22,,,"6422 S ASHLAND AVE, CHICAGO, IL 60636",15
Rafael Coreas,10-8-180,2020-01-21,,,"4000 S KEDZIE AVE, CHICAGO, IL 60632",14
Shawn Bradley,10-8-180,2019-11-15,,,"3624 N CICERO AVE, CHICAGO, IL 60641",30
