community,n_BAFCONP,n_POLICE,n_STRTSAN,n_TRANPORT,n_dockets
ALBANY PARK,0,0,0,15,15
ARCHER HEIGHTS,0,0,0,14,14
ARMOUR SQUARE,0,0,0,26,26
ASHBURN,0,0,0,2,2
AUBURN GRESHAM,0,0,3,16,19
AUSTIN,0,0,1,24,25
AVONDALE,0,0,5,13,18
BELMONT CRAGIN,0,5,8,54,67
BEVERLY,0,0,0,2,2
BRIDGEPORT,0,0,0,53,53
BRIGHTON PARK,0,0,70,12,82
CALUMET HEIGHTS,0,0,0,3,3
CHATHAM,0,0,9,6,15
CHICAGO LAWN,0,1,16,10,27
CLEARING,0,1,0,22,23
DOUGLAS,0,0,0,16,16
DUNNING,0,0,1,5,6
EAST GARFIELD PARK,0,0,9,29,38
EAST SIDE,0,0,0,2,2
EDGEWATER,0,0,3,2,5
ENGLEWOOD,0,4,58,7,69
FOREST GLEN,0,0,1,5,6
FULLER PARK,0,0,0,3,3
GAGE PARK,0,0,12,10,22
GARFIELD RIDGE,0,3,2,84,89
GRAND BOULEVARD,0,0,5,47,52
GREATER GRAND CROSSING,0,1,34,1,36
HEGEWISCH,0,0,0,2,2
HERMOSA,0,0,0,17,17
HUMBOLDT PARK,0,0,0,30,30
HYDE PARK,0,0,0,5,5
IRVING PARK,0,0,5,16,21
JEFFERSON PARK,0,0,5,3,8
KENWOOD,0,0,15,18,33
LAKE VIEW,0,0,7,42,49
LINCOLN PARK,0,0,2,125,127
LINCOLN SQUARE,0,0,13,24,37
LOGAN SQUARE,0,0,3,50,53
LOOP,0,0,2,29,31
LOWER WEST SIDE,0,0,15,23,38
MCKINLEY PARK,0,0,0,14,14
MONTCLARE,0,0,0,19,19
MORGAN PARK,0,1,0,1,2
NEAR NORTH SIDE,0,0,0,71,71
NEAR SOUTH SIDE,0,0,0,41,41
NEAR WEST SIDE,0,0,3,78,81
NEW CITY,0,0,63,7,70
NORTH CENTER,0,0,0,20,20
NORTH LAWNDALE,0,0,1,10,11
NORTH PARK,0,0,1,9,10
NORWOOD PARK,0,0,1,5,6
OAKLAND,0,0,1,12,13
PORTAGE PARK,0,0,3,14,17
RIVERDALE,0,0,1,0,1
ROGERS PARK,0,0,32,7,39
ROSELAND,0,0,1,8,9
SOUTH CHICAGO,0,0,3,4,7
SOUTH DEERING,0,0,0,3,3
SOUTH LAWNDALE,0,0,2,13,15
SOUTH SHORE,0,0,4,12,16
UPTOWN,0,0,3,9,12
WASHINGTON HEIGHTS,0,0,1,4,5
WASHINGTON PARK,0,0,0,10,10
WEST ELSDON,0,0,0,4,4
WEST ENGLEWOOD,0,6,60,9,75
WEST GARFIELD PARK,0,0,2,6,8
WEST LAWN,0,0,2,15,17
WEST PULLMAN,0,1,1,3,5
WEST RIDGE,0,0,7,17,24
WEST TOWN,0,0,1,96,97
WOODLAWN,2,2,0,0,4
