ward,n_BAFCONP,n_POLICE,n_STRTSAN,n_TRANPORT,n_dockets
1,0,0,1,61,62
2,0,0,0,64,64
3,0,0,0,91,91
4,0,0,21,75,96
5,0,0,1,7,8
6,0,1,53,7,61
7,0,0,6,3,9
8,0,0,0,11,11
9,0,0,1,9,10
10,0,0,0,9,9
11,0,0,3,80,83
12,0,0,3,22,25
13,0,1,2,26,29
14,0,1,7,39,47
15,0,3,161,7,171
16,0,6,88,8,102
17,0,1,9,10,20
18,0,0,0,4,4
19,0,0,0,2,2
20,2,3,3,3,11
21,0,0,1,15,16
22,0,0,2,10,12
23,0,2,0,85,87
24,0,0,0,12,12
25,0,0,16,43,59
26,0,0,1,18,19
27,0,0,0,98,98
28,0,0,15,32,47
29,0,2,0,19,21
30,0,1,10,7,18
31,0,0,3,40,43
32,0,0,1,93,94
33,0,0,5,20,25
34,0,2,2,9,13
35,0,0,0,21,21
36,0,2,3,41,46
37,0,0,0,27,27
38,0,0,0,3,3
39,0,0,0,11,11
40,0,0,27,35,62
41,0,0,1,0,1
42,0,0,2,59,61
43,0,0,2,101,103
44,0,0,7,3,10
45,0,0,8,14,22
46,0,0,1,2,3
47,0,0,1,12,13
48,0,0,0,2,2
49,0,0,29,5,34
50,0,0,1,13,14
