community,count_BAFCONP,count_POLICE,count_STRTSAN,count_TRANPORT,n_dockets,GEOID,COMMUNITY_NAME,2020_POP,COMMUNITY_CAPS,dp10k,streets_p10k,cdot_p10k,police_p10k,business_p10k,Sidewalks Per 10k_x,snow_complaints,citation_rate,Sidewalks Per 10k_y,snow_complaints
ALBANY PARK,0.0,0.0,0.0,15.0,15.0,14,Albany Park,48396,ALBANY PARK,0.774857426233573,0.0,0.774857426233573,0.0,0.0,20.662864699561947,400,0.0375,20.662864699561947,400
ARCHER HEIGHTS,0.0,0.0,0.0,12.0,12.0,57,Archer Heights,14196,ARCHER HEIGHTS,2.113271344040575,0.0,2.113271344040575,0.0,0.0,10.566356720202874,60,0.2,10.566356720202874,60
ARMOUR SQUARE,0.0,0.0,0.0,26.0,26.0,34,Armour Square,13890,ARMOUR SQUARE,4.679625629949604,0.0,4.679625629949604,0.0,0.0,13.858891288696904,77,0.33766233766233766,13.858891288696904,77
ASHBURN,0.0,0.0,0.0,2.0,2.0,70,Ashburn,41098,ASHBURN,0.12166042143169983,0.0,0.12166042143169983,0.0,0.0,6.569662757311791,108,0.018518518518518517,6.569662757311791,108
AUBURN GRESHAM,0.0,0.0,3.0,16.0,19.0,71,Auburn Gresham,44878,AUBURN GRESHAM,1.058425063505504,0.16711974686929007,0.8913053166362137,0.0,0.0,7.13044253308971,128,0.125,7.13044253308971,128
AUSTIN,0.0,0.0,1.0,27.0,28.0,25,Austin,96557,AUSTIN,0.7249603860931885,0.025891442360471018,0.6990689437327174,0.0,0.0,5.1523970297337325,199,0.135678391959799,5.1523970297337325,199
,,,,,,45,Avalon Park,9458,AVALON PARK,,,,,,7.136815394375132,27,,7.136815394375132,27
AVONDALE,0.0,0.0,5.0,13.0,18.0,21,Avondale,36257,AVONDALE,1.2411396420001655,0.34476101166671264,0.8963786303334529,0.0,0.0,35.096670987671345,509,0.025540275049115914,35.096670987671345,509
BELMONT CRAGIN,0.0,5.0,8.0,54.0,67.0,19,Belmont Cragin,78116,BELMONT CRAGIN,2.144247017256388,0.2560294945977777,1.7281990885349992,0.16001843412361105,0.0,8.929028624097496,279,0.1935483870967742,8.929028624097496,279
BEVERLY,0.0,0.0,0.0,2.0,2.0,72,Beverly,20027,BEVERLY,0.24966295501073552,0.0,0.24966295501073552,0.0,0.0,13.35696809307435,107,0.018691588785046728,13.35696809307435,107
BRIDGEPORT,0.0,0.0,0.0,53.0,53.0,60,Bridgeport,33702,BRIDGEPORT,3.931517417363955,0.0,3.931517417363955,0.0,0.0,22.773129191145927,307,0.17263843648208468,22.773129191145927,307
BRIGHTON PARK,0.0,0.0,70.0,11.0,81.0,58,Brighton Park,45053,BRIGHTON PARK,4.494706234878921,3.884314030142277,0.6103922047366435,0.0,0.0,6.88078485339489,124,0.08870967741935484,6.88078485339489,124
,,,,,,47,Burnside,2527,BURNSIDE,,,,,,3.957261574990107,4,,3.957261574990107,4
CALUMET HEIGHTS,0.0,0.0,0.0,3.0,3.0,48,Calumet Heights,13088,CALUMET HEIGHTS,0.5730440097799511,0.0,0.5730440097799511,0.0,0.0,15.28117359413203,80,0.0375,15.28117359413203,80
CHATHAM,0.0,0.0,9.0,6.0,15.0,44,Chatham,31710,CHATHAM,1.1825922421948911,0.7095553453169348,0.47303689687795647,0.0,0.0,8.356985178177231,106,0.05660377358490566,8.356985178177231,106
CHICAGO LAWN,0.0,1.0,16.0,10.0,27.0,66,Chicago Lawn,55931,CHICAGO LAWN,1.206844147252865,0.7151669020757719,0.44697931379735745,0.044697931379735746,0.0,5.2296579714290825,117,0.08547008547008547,5.2296579714290825,117
CLEARING,0.0,1.0,0.0,22.0,23.0,64,Clearing,24473,CLEARING,2.349528051321865,0.0,2.2473746577861315,0.10215339353573326,0.0,5.516283250929596,54,0.4074074074074074,5.516283250929596,54
DOUGLAS,0.0,0.0,0.0,16.0,16.0,35,Douglas,20291,DOUGLAS,1.9713173328076488,0.0,1.9713173328076488,0.0,0.0,15.893745995761668,129,0.12403100775193798,15.893745995761668,129
