ward,BAFCONP,POLICE,STRTSAN,TRANPORT,n_311,fine_ratio
1,0,0,1,61,1270,0.048031496062992125
2,0,0,0,64,785,0.08152866242038216
3,0,0,0,90,456,0.19736842105263158
4,0,0,21,75,510,0.14705882352941177
5,0,0,1,7,284,0.02464788732394366
6,0,1,53,7,213,0.03286384976525822
7,0,0,6,3,119,0.025210084033613446
8,0,0,0,11,241,0.04564315352697095
9,0,0,1,9,91,0.0989010989010989
10,0,0,0,9,134,0.06716417910447761
11,0,0,2,81,398,0.20351758793969849
12,0,0,3,22,220,0.1
13,0,1,2,26,145,0.1793103448275862
14,0,1,7,39,251,0.1553784860557769
15,0,3,161,7,123,0.056910569105691054
16,0,6,88,8,117,0.06837606837606838
17,0,1,9,10,169,0.05917159763313609
18,0,0,0,4,141,0.028368794326241134
19,0,0,0,2,176,0.011363636363636364
20,2,3,3,3,225,0.013333333333333334
21,0,0,1,15,124,0.12096774193548387
22,0,0,2,10,209,0.04784688995215311
23,0,2,0,85,278,0.3057553956834532
24,0,0,0,12,192,0.0625
25,0,0,16,43,540,0.07962962962962963
26,0,0,1,18,677,0.026587887740029542
27,0,0,0,103,808,0.12747524752475248
28,0,0,14,32,337,0.09495548961424333
29,0,2,0,21,159,0.1320754716981132
30,0,1,10,7,493,0.014198782961460446
31,0,0,3,40,319,0.12539184952978055
32,0,0,1,93,1583,0.058749210360075806
33,0,0,5,20,616,0.032467532467532464
34,0,2,3,9,106,0.08490566037735849
35,0,0,0,21,425,0.04941176470588235
36,0,2,3,40,292,0.136986301369863
37,0,0,0,28,126,0.2222222222222222
38,0,0,0,3,385,0.007792207792207792
39,0,0,0,11,647,0.017001545595054096
40,0,0,27,35,862,0.04060324825986079
41,0,0,1,0,323,0.0
42,0,0,3,51,441,0.11564625850340136
43,0,0,2,102,935,0.10909090909090909
44,0,0,7,3,1002,0.0029940119760479044
45,0,0,8,14,503,0.027833001988071572
46,0,0,1,2,829,0.0024125452352231603
47,0,0,1,12,1571,0.0076384468491406746
48,0,0,0,2,622,0.003215434083601286
49,0,0,29,5,552,0.009057971014492754
50,0,0,1,13,661,0.019667170953101363
