,address,lat,long,community,count_BAFCONP,count_POLICE,count_STRTSAN,count_TRANPORT,sum_BAFCONP,sum_POLICE,sum_STRTSAN,sum_TRANPORT,n_dockets,total_fines,dept
0,10 N KILBOURN AVE,41.88096235,-87.73835576302265,WEST GARFIELD PARK,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
1,100 E CHESTNUT ST,41.8985878,-87.62589246260751,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,550.0,1,550.0,cdot
2,100 N KEDZIE,41.9467224,-87.7078351,IRVING PARK,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
3,100 N KEDZIE AVE,41.88315915,-87.70652906434054,EAST GARFIELD PARK,0,0,3,0,0.0,0.0,150.0,0.0,3,150.0,streets
4,100 W GRAND,41.7655813,-87.6216949,GREATER GRAND CROSSING,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
5,1000 W CERMAK RD,41.852655,-87.651578,LOWER WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
6,1000 W LAKE ST,41.8858065,-87.65231307927601,NEAR WEST SIDE,0,0,0,2,0.0,0.0,0.0,650.0,2,650.0,cdot
7,1000 W MADISON,41.881779,-87.652199,NEAR WEST SIDE,0,0,0,2,0.0,0.0,0.0,1300.0,2,1300.0,cdot
8,1001 N CICERO,41.89896915,-87.745569456777,AUSTIN,0,0,0,2,0.0,0.0,0.0,760.0,2,760.0,cdot
9,1001 W CULLERTON,41.85507145,-87.65165376933214,LOWER WEST SIDE,0,0,0,1,0.0,0.0,0.0,110.0,1,110.0,cdot
10,10015 S AVENUE L,41.71347365,-87.53630511002744,EAST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
11,1002 W LAKE ST,41.8858053,-87.65240600022625,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
12,1009 N ORLEANS ST,41.90094175,-87.63716963966175,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
13,101 N KEDZIE,41.882919,-87.706063,EAST GARFIELD PARK,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
14,101 S PAULINA ST,41.880005,-87.669154,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
15,1010 W MADISON,41.88196975,-87.6524227995416,NEAR WEST SIDE,0,0,0,2,0.0,0.0,0.0,410.0,2,410.0,cdot
16,1012 N WOLCOTT,41.90004725,-87.67499475651294,WEST TOWN,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
17,1015 N PULASKI,41.8996659,-87.72568449067242,HUMBOLDT PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
18,1016 N WOLCOTT,41.90011665,-87.67501699834747,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
19,1017 W DIVISION ST,41.9030974,-87.65322921427995,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
20,1018 W MADISON,41.881935049999996,-87.65279677526826,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
21,10231 S BEVERLY,41.70804537341591,-87.65649221705756,WASHINGTON HEIGHTS,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
22,10259 S MICHIGAN,41.7073515,-87.61994162651746,ROSELAND,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
23,10320 S CHURCH ST,41.7060779,-87.66041697643678,BEVERLY,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
24,1042 N WESTERN,41.899786869266585,-87.68705622593625,WEST TOWN,0,0,0,1,0.0,0.0,0.0,110.0,1,110.0,cdot
25,1044 W TAYLOR ST,41.8696865,-87.65286480593369,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,600.0,1,600.0,cdot
26,1049 W MARQUETTE RD,41.772214000000005,-87.65139034923386,ENGLEWOOD,0,1,0,0,0.0,0.0,0.0,0.0,1,0.0,police
27,105 N PULASKI RD,41.88277918582021,-87.725617,WEST GARFIELD PARK,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
28,10548 S TORRENCE,41.70311485,-87.559883637632,SOUTH DEERING,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
29,1057 N WOLCOTT,41.90128425,-87.67452826935528,WEST TOWN,0,0,0,1,0.0,0.0,0.0,200.0,1,200.0,cdot
30,1058 W WRIGHTWOOD,41.929215150000005,-87.65600236883765,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
31,1073 W MAXWELL ST,41.864416199999994,-87.65269804508483,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
32,10813 S WALLACE,41.6974079,-87.63739029109624,ROSELAND,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
33,10813 S WALLACE ST,41.6974079,-87.63739029109624,ROSELAND,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
34,110 W OHIO ST,41.89250553091705,-87.63142024305525,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
35,1100 E 47TH ST,41.809698,-87.599101,KENWOOD,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
36,1100 W RANDOLPH ST,41.884456,-87.655777,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
37,1100 W WEBSTER,41.9219797,-87.65608641479466,LINCOLN PARK,0,0,0,2,0.0,0.0,0.0,1000.0,2,1000.0,cdot
38,1101 W BERWYN,41.978248,-87.65863472496416,EDGEWATER,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
39,1108 W GRAND AVE,41.89118386119325,-87.65542385527951,WEST TOWN,0,0,0,1,0.0,0.0,0.0,260.0,1,260.0,cdot
40,111 N KEDZIE,41.8832613,-87.70573330351931,EAST GARFIELD PARK,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
41,111 W 75TH ST,41.75802435,-87.62747819075315,GREATER GRAND CROSSING,0,0,1,0,0.0,0.0,500.0,0.0,1,500.0,streets
42,1111 N MARSHFIELD,41.90246688433909,-87.66858786409642,WEST TOWN,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
43,1115 N HERMITAGE,41.9027365,-87.6708092897882,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
44,113 S CLINTON ST,41.8800901,-87.6408472,NEAR WEST SIDE,0,0,0,2,0.0,0.0,0.0,710.0,2,710.0,cdot
