,field_1,Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed,year,month,date,season,City,State,Cleaned Address,Corrected,result_num,osm_id,display_name,category,type,latlong,community,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len,Binned Fine
232,1522,22CP001080,2022/01/16,6135 S VERNON AVE,POLICE,0.0,2022,1,2022/01/16,2021-2022,Chicago,Illinois,6135 S VERNON AVE,,0,210904669,"6135, South Vernon Avenue, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",building,yes,"41.782876,-87.61420036417005",WOODLAWN,0.0,57815179.512,0.0,42.0,42.0,0.0,0.0,46936.9592443,0
233,1527,22CP001691,2022/01/29,6331 S RHODES,POLICE,0.0,2022,1,2022/01/29,2021-2022,Chicago,Illinois,6331 S RHODES,,0,210905137,"6331, South Rhodes Avenue, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",building,yes,"41.779349100000005,-87.6117346934482",WOODLAWN,0.0,57815179.512,0.0,42.0,42.0,0.0,0.0,46936.9592443,0
411,49,20CP00166A,2020/02/13,5959 W GRAND AVE,POLICE,0.0,2020,2,2020/02/13,2019-2020,Chicago,Illinois,5959 W GRAND AVE,,0,163046921,"5959, West Grand Avenue, Hanson Park, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",building,retail,"41.920229199999994,-87.77541551679793",BELMONT CRAGIN,0.0,109099414.689,0.0,19.0,19.0,0.0,0.0,43311.707379,0
412,50,20CP00166A,2020/02/13,5959 W GRAND AVE,POLICE,150.0,2020,2,2020/02/13,2019-2020,Chicago,Illinois,5959 W GRAND AVE,,0,163046921,"5959, West Grand Avenue, Hanson Park, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",building,retail,"41.920229199999994,-87.77541551679793",BELMONT CRAGIN,0.0,109099414.689,0.0,19.0,19.0,0.0,0.0,43311.707379,151-499
413,51,20CP00167A,2020/02/13,5940 W FULLERTON AVE,POLICE,0.0,2020,2,2020/02/13,2019-2020,Chicago,Illinois,5940 W FULLERTON AVE,,0,163046898,"5940-5944, West Fullerton Avenue, Hanson Park, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",building,yes,"41.92406865,-87.7750262566473",BELMONT CRAGIN,0.0,109099414.689,0.0,19.0,19.0,0.0,0.0,43311.707379,0
414,59,20CP012097,2020/02/28,6111 W DICKENS,POLICE,0.0,2020,2,2020/02/28,2019-2020,Chicago,Illinois,6111 W DICKENS,,0,24098574,"6111, West Dickens Avenue, Hanson Park, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",place,house,"41.917760911695076,-87.78010245583425",BELMONT CRAGIN,0.0,109099414.689,0.0,19.0,19.0,0.0,0.0,43311.707379,0
415,60,20CP012098,2020/02/28,6117 W DICKENS,POLICE,0.0,2020,2,2020/02/28,2019-2020,Chicago,Illinois,6117 W DICKENS,,0,24098574,"6117, West Dickens Avenue, Hanson Park, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",place,house,"41.91776052506027,-87.78011126251612",BELMONT CRAGIN,0.0,109099414.689,0.0,19.0,19.0,0.0,0.0,43311.707379,0
416,61,20CP012099,2020/02/28,6159 W DICKENS,POLICE,0.0,2020,2,2020/02/28,2019-2020,Chicago,Illinois,6159 W DICKENS,,0,24098574,"6159, West Dickens Avenue, Hanson Park, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",place,house,"41.917938875971615,-87.7795741213247",BELMONT CRAGIN,0.0,109099414.689,0.0,19.0,19.0,0.0,0.0,43311.707379,0
1558,1528,22CP001810,2022/02/03,6654 S LOOMIS ST,POLICE,0.0,2022,2,2022/02/03,2021-2022,Chicago,Illinois,6654 S LOOMIS ST,,0,1222296204,"South Loomis Street, West Pullman, Chicago, Lake Township, Cook County, Illinois, 60643, United States",highway,residential,"41.6812454,-87.6566394",WEST PULLMAN,0.0,99365198.0822,0.0,53.0,53.0,0.0,0.0,50023.8430008,0
1562,54,20CP008001,2020/02/06,5112 S NASHVILLE,POLICE,500.0,2020,2,2020/02/06,2019-2020,Chicago,Illinois,5112 S NASHVILLE,,0,162926952,"5112, South Nashville Avenue, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",building,yes,"41.7991362,-87.78717079386803",GARFIELD RIDGE,0.0,117890778.429,0.0,56.0,56.0,0.0,0.0,60080.4479704,500
