community_caps,n_dockets,n_records,2020_pop,community_name,dockets per 10k
ALBANY PARK,15,15,48396,Albany Park,0.774857426233573
ARCHER HEIGHTS,14,14,14196,Archer Heights,2.465483234714004
ARMOUR SQUARE,26,26,13890,Armour Square,4.679625629949604
ASHBURN,2,2,41098,Ashburn,0.12166042143169983
AUBURN GRESHAM,19,19,44878,Auburn Gresham,1.058425063505504
AUSTIN,25,25,96557,Austin,0.6472860590117754
AVONDALE,18,18,36257,Avondale,1.2411396420001655
BELMONT CRAGIN,67,67,78116,Belmont Cragin,2.144247017256388
BEVERLY,2,2,20027,Beverly,0.24966295501073552
BRIDGEPORT,53,53,33702,Bridgeport,3.931517417363955
BRIGHTON PARK,82,82,45053,Brighton Park,4.550196435309524
CALUMET HEIGHTS,3,3,13088,Calumet Heights,0.5730440097799511
CHATHAM,15,15,31710,Chatham,1.1825922421948911
CHICAGO LAWN,27,27,55931,Chicago Lawn,1.206844147252865
CLEARING,23,23,24473,Clearing,2.349528051321865
DOUGLAS,16,16,20291,Douglas,1.9713173328076488
DUNNING,6,6,43147,Dunning,0.3476487357174311
EAST GARFIELD PARK,38,38,19992,East Garfield Park,4.751900760304122
EAST SIDE,2,2,21724,East Side,0.23016019149327932
EDGEWATER,5,5,56296,Edgewater,0.2220406423191701
ENGLEWOOD,69,69,24369,Englewood,7.078665517665887
FOREST GLEN,6,6,19596,Forest Glen,0.7654623392529087
FULLER PARK,3,3,2567,Fuller Park,2.92169848071679
GAGE PARK,22,22,39540,Gage Park,1.39099645928174
GARFIELD RIDGE,89,89,35439,Garfield Ridge,6.278393859871892
GRAND BOULEVARD,52,52,24589,Grand Boulevard,5.286916914067266
GREATER GRAND CROSSING,36,36,31471,Greater Grand Crossing,2.8597756664866067
HEGEWISCH,2,2,10027,Hegewisch,0.4986536351850005
HERMOSA,17,17,24062,Hermosa,1.7662704679577756
HUMBOLDT PARK,30,30,54165,Humboldt Park,1.3846579894765993
HYDE PARK,5,5,29456,Hyde Park,0.4243617599130907
IRVING PARK,21,21,51940,Irving Park,1.0107816711590296
JEFFERSON PARK,8,8,26216,Jefferson Park,0.7628928898382668
KENWOOD,33,33,19116,Kenwood,4.315756434400503
LAKE VIEW,49,49,103050,Lake View,1.1887433284813198
LINCOLN PARK,127,127,70492,Lincoln Park,4.504057197979913
LINCOLN SQUARE,37,37,40494,Lincoln Square,2.2842890304736505
LOGAN SQUARE,53,53,71665,Logan Square,1.8488802065164307
LOOP,31,31,42298,Loop,1.832237930871436
LOWER WEST SIDE,38,38,33751,Lower West Side,2.8147314153654706
MCKINLEY PARK,14,14,15923,McKinley Park,2.1980782515857564
MONTCLARE,19,19,14401,Montclare,3.298382056801611
MORGAN PARK,2,2,21186,Morgan Park,0.23600490890210515
NEAR NORTH SIDE,71,71,105481,Near North Side,1.6827675126326067
NEAR SOUTH SIDE,41,41,28795,Near South Side,3.559645771835388
NEAR WEST SIDE,82,82,67881,Near West Side,3.019990866369087
NEW CITY,70,70,43628,New City,4.011185477216467
NORTH CENTER,20,20,35114,North Center,1.4239334738281026
NORTH LAWNDALE,11,11,34794,North Lawndale,0.7903661550842099
NORTH PARK,10,10,17559,North Park,1.4237712853807165
NORWOOD PARK,6,6,38303,Norwood Park,0.3916142338720205
OAKLAND,13,13,6799,Oakland,4.780114722753346
PORTAGE PARK,17,17,63020,Portage Park,0.6743890828308473
RIVERDALE,1,1,7262,Riverdale,0.3442577802258331
ROGERS PARK,39,39,55628,Rogers Park,1.7527144603437117
ROSELAND,9,9,38816,Roseland,0.5796578730420445
SOUTH CHICAGO,7,7,27300,South Chicago,0.6410256410256411
SOUTH DEERING,3,3,14105,South Deering,0.5317263381779511
SOUTH LAWNDALE,15,15,71399,South Lawndale,0.5252174400201683
SOUTH SHORE,16,16,53971,South Shore,0.7411387597042857
UPTOWN,12,12,57182,Uptown,0.5246406211744955
WASHINGTON HEIGHTS,5,5,25065,Washington Heights,0.4987033712347895
WASHINGTON PARK,10,10,12707,Washington Park,1.967419532541119
WEST ELSDON,4,4,18394,West Elsdon,0.5436555398499511
WEST ENGLEWOOD,75,75,29647,West Englewood,6.324417310351806
WEST GARFIELD PARK,8,8,17433,West Garfield Park,1.1472494693971205
WEST LAWN,17,17,33662,West Lawn,1.2625512447269918
WEST PULLMAN,5,5,26104,West Pullman,0.47885381550720196
WEST RIDGE,24,24,77122,West Ridge,0.7779881227146599
WEST TOWN,97,97,87781,West Town,2.7625568175345463
WOODLAWN,4,4,24425,Woodlawn,0.4094165813715456
