docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records,dept_label
19DS68300L,STRTSAN,4710 S WESTERN AVE,41.807859,-87.68479703503766,BRIGHTON PARK,15,2019-11-13,2,DSS
19DS72172L,STRTSAN,2646 W 47TH ST,41.80841619044246,-87.6909019306209,BRIGHTON PARK,15,2019-11-13,2,DSS
19DS72178L,STRTSAN,2607 W 47TH ST,41.808159450000005,-87.68969175000001,BRIGHTON PARK,15,2019-11-13,1,DSS
19DS72224L,STRTSAN,2605 W 47TH ST,41.80827320712282,-87.68961443158123,BRIGHTON PARK,15,2019-11-13,2,DSS
19DS72255L,STRTSAN,2509 W 47TH ST,41.807998350000005,-87.68742976581026,BRIGHTON PARK,15,2019-11-13,2,DSS
19DS72301L,STRTSAN,2559 W 47TH ST,41.80828429996001,-87.68892366933247,BRIGHTON PARK,15,2019-11-13,1,DSS
19DS72310L,STRTSAN,2547 W 47TH ST,41.80829061653844,-87.68851555653939,BRIGHTON PARK,15,2019-11-13,4,DSS
19DS72311L,STRTSAN,2502 W 47TH ST,41.808477535422,-87.68706911854203,BRIGHTON PARK,15,2019-11-13,2,DSS
19DS72319L,STRTSAN,2432 W 47TH ST,41.8085945,-87.68568239999999,BRIGHTON PARK,15,2019-11-13,2,DSS
20CP005520,POLICE,2139 W 72ND PL,41.76181925,-87.67742349070922,WEST ENGLEWOOD,17,2020-01-24,6,Police
20CP008508,POLICE,7419 S HARVARD ,41.75933345,-87.63298858042347,GREATER GRAND CROSSING,6,2020-02-10,3,Police
20CP012141,POLICE,6704 S WOOD ST,41.771936333333336,-87.66898533333332,WEST ENGLEWOOD,16,2020-02-27,1,Police
20DS72765L,STRTSAN,7201 S EVANS AVE,41.763909,-87.606651,GREATER GRAND CROSSING,6,2019-11-12,4,DSS
20DS73439L,STRTSAN,2523 W 47TH ST,41.80820945,-87.68783160115149,BRIGHTON PARK,15,2019-11-13,2,DSS
20DS73674L,STRTSAN,2501 W 47TH ST,41.808313,-87.687047,BRIGHTON PARK,15,2019-11-13,6,DSS
20DS74596L,STRTSAN,4402 S CALIFORNIA AVE,41.813578839366926,-87.69447593683859,BRIGHTON PARK,15,2019-11-15,1,DSS
20DS75556L,STRTSAN,1724 W 47TH ST,41.808653521240686,-87.66832056709748,NEW CITY,15,2020-01-21,1,DSS
20DS75558L,STRTSAN,4410 S ASHLAND AVE,41.81377265296897,-87.66521202415434,NEW CITY,15,2020-01-21,3,DSS
20DS75580L,STRTSAN,4456 S ASHLAND AVE,41.8124799,-87.66545605769683,NEW CITY,15,2020-01-21,1,DSS
20DS75583L,STRTSAN,4518 S ASHLAND AVE,41.81156925,-87.66544286921518,NEW CITY,15,2020-01-21,2,DSS
20DS75602L,STRTSAN,1614 W 47TH ST,41.80882115,-87.66587232671927,NEW CITY,15,2020-01-21,1,DSS
20DS75650L,STRTSAN,2307 W 47TH ST,41.80834922547095,-87.6822047333861,NEW CITY,15,2020-01-21,4,DSS
20DS75718L,STRTSAN,2301 W GARFIELD BLVD,41.79326255,-87.68149824492853,GAGE PARK,15,2020-01-22,2,DSS
20DS75730L,STRTSAN,1816 W 47TH ST,41.80863247477542,-87.67050013971117,NEW CITY,15,2020-01-21,2,DSS
20DS75740L,STRTSAN,1737 W 47TH ST,41.8084097,-87.668940777639,NEW CITY,15,2020-01-21,2,DSS
20DS75771L,STRTSAN,2021 W 47TH ST,41.808266450000005,-87.67555657727985,NEW CITY,15,2020-01-21,1,DSS
20DS75787L,STRTSAN,5421 S ASHLAND AVE,41.79550510335157,-87.6645155630733,NEW CITY,16,2020-01-22,4,DSS
20DS75789L,STRTSAN,2706 W 47TH ST,41.80839636414722,-87.6921077870194,BRIGHTON PARK,15,2020-01-21,1,DSS
20DS75798L,STRTSAN,5407 S ASHLAND AVE,41.79566323100548,-87.66452076892199,NEW CITY,16,2020-01-22,1,DSS
20DS75804L,STRTSAN,5658 S HONORE ST,41.79043885,-87.67090160264117,WEST ENGLEWOOD,15,2020-01-22,2,DSS
20DS75837L,STRTSAN,7628 S UNION AVE,41.75511435,-87.64198540562467,AUBURN GRESHAM,6,2020-01-22,2,DSS
20DS75850L,STRTSAN,4500 S ROCKWELL ST,41.811859350000006,-87.68992618829162,BRIGHTON PARK,15,2020-01-22,2,DSS
20DS75868L,STRTSAN,1910 W 47TH ST,41.80860846770642,-87.67264533403684,NEW CITY,15,2020-01-21,1,DSS
20DS75871L,STRTSAN,5001 S WESTERN BLVD,41.802838,-87.683592,GAGE PARK,15,2020-01-21,2,DSS
20DS75875L,STRTSAN,5943 S WOOD ST,41.785414849999995,-87.6689633,WEST ENGLEWOOD,15,2020-01-22,2,DSS
20DS75876L,STRTSAN,2614 W 48TH ST,41.8067837,-87.69014381491755,BRIGHTON PARK,15,2020-01-21,2,DSS
20DS75880L,STRTSAN,4528 S ROCKWELL ST,41.81108675,-87.6896619895517,BRIGHTON PARK,15,2020-01-22,1,DSS
20DS75886L,STRTSAN,4701 S WESTERN AVE,41.80739520408164,-87.68450380612245,BRIGHTON PARK,15,2020-01-21,2,DSS
20DS75889L,STRTSAN,5945 S WOOD ST,41.78534415,-87.66896034999999,WEST ENGLEWOOD,15,2020-01-22,1,DSS
20DS75906L,STRTSAN,2619 W POPE JOHN PAUL II DR,41.81552627673706,-87.69022759439422,BRIGHTON PARK,15,2020-01-22,2,DSS
20DS75908L,STRTSAN,5516 S DAMEN AVE,41.79284890141195,-87.67437305907809,WEST ENGLEWOOD,15,2020-01-22,1,DSS
20DS75909L,STRTSAN,2057 W GARFIELD BLVD,41.793978608086746,-87.67620174497404,NEW CITY,16,2020-01-22,1,DSS
20DS75914L,STRTSAN,1643 W 47TH ST,41.80850550671488,-87.66672785640444,NEW CITY,20,2020-01-21,12,DSS
20DS75916L,STRTSAN,5524 S DAMEN AVE,41.79278735211793,-87.67437158861715,WEST ENGLEWOOD,15,2020-01-22,1,DSS
20DS75919L,STRTSAN,2559 W 47TH ST,41.80828429996001,-87.68892366933247,BRIGHTON PARK,15,2020-01-21,1,DSS
20DS75927L,STRTSAN,5500 S DAMEN AVE,41.79328635,-87.67448629946347,WEST ENGLEWOOD,15,2020-01-22,1,DSS
20DS75935L,STRTSAN,4201 S FAIRFIELD AVE,41.8172738,-87.6929907285857,BRIGHTON PARK,15,2020-01-22,1,DSS
20DS75936L,STRTSAN,4348 S WESTERN AVE,41.81480449266772,-87.68471150024413,BRIGHTON PARK,15,2020-01-21,1,DSS
20DS75941L,STRTSAN,6414 S ASHLAND AVE,41.777305006260704,-87.66427149191664,WEST ENGLEWOOD,15,2020-01-22,1,DSS
20DS75943L,STRTSAN,4210 S ROCKWELL ST,41.817053650000005,-87.6898394833051,BRIGHTON PARK,15,2020-01-22,1,DSS
20DS75953L,STRTSAN,2111 W GARFIELD BLVD,41.79396765363164,-87.67709831281992,NEW CITY,16,2020-01-22,3,DSS
20DS75957L,STRTSAN,4201 S CALIFORNIA AVE,41.8172524,-87.69419416297762,BRIGHTON PARK,15,2020-01-22,3,DSS
20DS75969L,STRTSAN,4201 S ARTESIAN AVE,41.817348800000005,-87.68569398126881,BRIGHTON PARK,15,2020-01-22,1,DSS
20DS75981L,STRTSAN,2701 W POPE JOHN PAUL II DR,41.8153818,-87.69213364592147,BRIGHTON PARK,15,2020-01-21,1,DSS
20DS75985L,STRTSAN,1958 W 47TH ST,41.8087695,-87.67431761162888,NEW CITY,15,2020-01-21,1,DSS
20DS75986L,STRTSAN,4949 S SEELEY AVE,41.8034022,-87.67552959207137,NEW CITY,15,2020-01-22,1,DSS
