community_name,2020_pop,vac_hu,hu_tot,vacant,vacperc,community_caps,n_BAFCONP,n_POLICE,n_STRTSAN,n_TRANPORT,n_dockets,n_311_complaints,dp10k,streets_p10k,cdot_p10k,police_p10k,n_p10k,311_p10k,complaint_ratio
Albany Park,48396,1448.0,18230.0,5.322983086,0.004330584,ALBANY PARK,0,0,0,15,15.0,400,0.774857426233573,0.0,0.774857426233573,0.0,0.0,20.662864699561947,0.0375
Archer Heights,14196,406.0,4538.0,29.23159946,0.022769518,ARCHER HEIGHTS,0,0,0,14,14.0,60,2.465483234714004,0.0,2.465483234714004,0.0,0.0,10.566356720202874,0.23333333333333334
Armour Square,13890,393.5135521,5860.348806,15.69640395,0.02462474,ARMOUR SQUARE,0,0,0,26,26.0,77,4.679625629949604,0.0,4.679625629949604,0.0,0.0,13.858891288696904,0.33766233766233766
Ashburn,41098,540.0,13479.0,59.46821259,0.019123202,ASHBURN,0,0,0,2,2.0,108,0.12166042143169983,0.0,0.12166042143169983,0.0,0.0,6.569662757311791,0.018518518518518517
Auburn Gresham,44878,3364.0,20617.0,119.1221472,0.049387934,AUBURN GRESHAM,0,0,3,16,19.0,128,1.058425063505504,0.16711974686929007,0.8913053166362137,0.0,0.0,7.13044253308971,0.125
Austin,96557,4994.0,38455.0,214.5769195,0.046909779,AUSTIN,0,0,1,24,25.0,199,0.6472860590117754,0.025891442360471018,0.6213946166513045,0.0,0.0,5.1523970297337325,0.12060301507537688
Avalon Park,9458,686.3218391,4738.381443,20.70396064,0.025876433,AVALON PARK,0,0,0,0,0.0,27,0.0,0.0,0.0,0.0,0.0,7.136815394375132,0.0
Avondale,36257,1606.0,15341.0,12.65307014,0.009968562,AVONDALE,0,0,5,13,18.0,509,1.2411396420001655,0.34476101166671264,0.8963786303334529,0.0,0.0,35.096670987671345,0.025540275049115914
Belmont Cragin,78116,1804.0,24527.0,18.94145473,0.007562733,BELMONT CRAGIN,0,5,8,54,67.0,279,2.144247017256388,0.2560294945977777,1.7281990885349992,0.16001843412361105,0.0,8.929028624097496,0.1935483870967742
Beverly,20027,477.0,7867.0,9.388996294,0.004606754,BEVERLY,0,0,0,2,2.0,107,0.24966295501073552,0.0,0.24966295501073552,0.0,0.0,13.35696809307435,0.018691588785046728
Bridgeport,33702,880.4864479,13773.65119,66.80536077,0.049922211,BRIDGEPORT,0,0,0,53,53.0,307,3.931517417363955,0.0,3.931517417363955,0.0,0.0,22.773129191145927,0.17263843648208468
Brighton Park,45053,1239.0,13559.0,75.03739694,0.043069032,BRIGHTON PARK,0,0,70,12,82.0,124,4.550196435309524,3.884314030142277,0.6658824051672475,0.0,0.0,6.88078485339489,0.0967741935483871
Burnside,2527,309.0,1301.0,31.96363767,0.081921479,BURNSIDE,0,0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,3.957261574990107,0.0
Calumet Heights,13088,820.0,6276.0,69.55981433,0.062057316,CALUMET HEIGHTS,0,0,0,3,3.0,80,0.5730440097799511,0.0,0.5730440097799511,0.0,0.0,15.28117359413203,0.0375
Chatham,31710,2504.678161,16889.61856,65.44490299,0.034630184,CHATHAM,0,0,9,6,15.0,106,1.1825922421948911,0.7095553453169348,0.47303689687795647,0.0,0.0,8.356985178177231,0.05660377358490566
Chicago Lawn,55931,2301.0,18946.0,52.44111317,0.023243257,CHICAGO LAWN,0,1,16,10,27.0,117,1.206844147252865,0.7151669020757719,0.44697931379735745,0.044697931379735746,0.0,5.2296579714290825,0.08547008547008547
Clearing,24473,418.0,9072.0,14.71476932,0.009009398,CLEARING,0,1,0,22,23.0,54,2.349528051321865,0.0,2.2473746577861315,0.10215339353573326,0.0,5.516283250929596,0.4074074074074074
Douglas,20291,1012.0,11152.0,125.6282985,0.119321123,DOUGLAS,0,0,0,16,16.0,129,1.9713173328076488,0.0,1.9713173328076488,0.0,0.0,15.893745995761668,0.12403100775193798
Dunning,43147,986.0,16872.0,37.04458872,0.015576642,DUNNING,0,0,1,5,6.0,183,0.3476487357174311,0.05794145595290518,0.2897072797645259,0.0,0.0,10.603286439381648,0.0273224043715847
East Garfield Park,19992,1378.0,8233.0,169.9391858,0.137381376,EAST GARFIELD PARK,0,0,9,29,38.0,151,4.751900760304122,1.125450180072029,3.6264505802320928,0.0,0.0,18.882553021208484,0.19205298013245034
