,docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records
1,19DS69216L,STRTSAN,1425 W MORSE AVE,42.0074513,-87.6668285,ROGERS PARK,49,2019-11-13,1
7,19DS72191L,STRTSAN,1215 W ARTHUR AVE,42.000190450000005,-87.66143323727331,ROGERS PARK,49,2019-11-14,1
9,19DS72216L,STRTSAN,1217 W ARTHUR AVE,42.00023185,-87.66159363258794,ROGERS PARK,49,2019-11-14,1
16,19DS72378L,STRTSAN,1401 W PRATT BLVD,42.005369,-87.666029,ROGERS PARK,49,2019-11-14,1
19,19DS72434L,STRTSAN,6417 N GLENWOOD AVE,41.9986904,-87.66519154259123,ROGERS PARK,49,2019-11-14,1
20,19DS72474L,STRTSAN,1335 W MORSE AVE,42.00773245,-87.66542264259454,ROGERS PARK,49,2019-11-14,3
21,19DS72505L,STRTSAN,6419 N GLENWOOD AVE,41.998781,-87.66519423228745,ROGERS PARK,49,2019-11-14,1
47,20DS72557L,STRTSAN,2053 W HOWARD ST,42.0191085,-87.68264395025643,ROGERS PARK,49,2019-11-15,1
52,20DS72805L,STRTSAN,7464 N CLARK ST,42.0176759,-87.67601776331276,ROGERS PARK,49,2019-11-13,1
56,20DS73871L,STRTSAN,1712 W PRATT BLVD,42.00539654880913,-87.67429953086183,ROGERS PARK,49,2019-11-13,2
58,20DS74580L,STRTSAN,2101 W HOWARD ST,42.01919075,-87.68347801146834,ROGERS PARK,49,2019-11-15,1
64,20DS75561L,STRTSAN,1436 W FARGO AVE,42.0173719,-87.66705005342436,ROGERS PARK,49,2020-01-21,2
75,20DS75693L,STRTSAN,1335 W MORSE AVE,42.00773245,-87.66542264259454,ROGERS PARK,49,2020-01-21,1
79,20DS75749L,STRTSAN,6714 N CLARK ST,42.004280699999995,-87.67323258704147,ROGERS PARK,49,2019-11-13,2
81,20DS75772L,STRTSAN,1425 W MORSE AVE,42.0074513,-87.6668285,ROGERS PARK,49,2020-01-21,1
95,20DS75874L,STRTSAN,1516 W FARWELL AVE,42.006943449999994,-87.6686648655629,ROGERS PARK,49,2020-01-21,4
112,20DS75940L,STRTSAN,7105 N RIDGE BLVD,42.01155085,-87.68248341855795,ROGERS PARK,49,2020-01-22,2
135,20DS76007L,STRTSAN,2036 W ESTES AVE,42.01136701196594,-87.68161339349575,ROGERS PARK,49,2020-01-22,6
137,20DS76026L,STRTSAN,1631 W MORSE AVE,42.007555749999995,-87.67133219112212,ROGERS PARK,49,2020-01-22,1
181,20DS76679L,STRTSAN,7450 N SHERIDAN RD,42.017399600000005,-87.66591659313465,ROGERS PARK,49,2020-01-21,2
386,21DS20206M,STRTSAN,7356 N ASHLAND BLVD,42.01553635,-87.6705469,ROGERS PARK,49,2021-01-29,1
1194,22DS03576M,STRTSAN,7110 N CLARK ST,42.0116848,-87.67469603319424,ROGERS PARK,49,2022-01-12,2
1195,22DS03577M,STRTSAN,7112 N CLARK ST,42.011976450000006,-87.67483989887126,ROGERS PARK,49,2022-01-12,2
1196,22DS03580M,STRTSAN,7441 N ROGERS AVE,42.0166471,-87.67343873153679,ROGERS PARK,49,2022-01-12,3
1197,22DS03583M,STRTSAN,7428 N ROGERS AVE,42.016655846722244,-87.67415210136416,ROGERS PARK,49,2022-01-12,2
1324,22DS04393M,STRTSAN,7356 N ASHLAND BLVD,42.01553635,-87.6705469,ROGERS PARK,49,2022-02-14,1
1329,22DS04428M,STRTSAN,1320 W MORSE AVE,42.008011950433435,-87.6647261518114,ROGERS PARK,49,2022-02-15,1
1443,22DT000840,TRANPORT,6934 N CLARK ST,42.00756741354549,-87.67374234081372,ROGERS PARK,49,2022-01-10,2
1773,22DT001533,TRANPORT,7450 N SHERIDAN RD,42.017399600000005,-87.66591659313465,ROGERS PARK,49,2022-02-07,1
1804,22DT001606,TRANPORT,1345 W ESTES ,42.0112161,-87.66510716911765,ROGERS PARK,49,2022-03-02,2
1821,22DT003519,TRANPORT,7441 N ROGERS ,42.0166471,-87.67343873153679,ROGERS PARK,49,2022-07-08,2
1825,23DS04367M,STRTSAN,7433 N WOLCOTT AVE,42.01760885,-87.67733568146258,ROGERS PARK,49,2023-02-02,2
1838,23DS13237M,STRTSAN,7418 N PAULINA ST,42.01652825,-87.6727831995379,ROGERS PARK,49,2023-02-02,2
1844,23DT000243,TRANPORT,1345 W ESTES ,42.0112161,-87.66510716911765,ROGERS PARK,49,2022-11-23,2
